entry,meaning,ipa,example_sentence,translated_sentence
external,"【形】外部の, 外的な.",/ɪkˈstɜːrnəl/,The external walls of the building are made of glass.,建物の外壁はガラス製です。
maintain,"【動】維持する, 保つ.",/mənˈteɪn/,It is important to maintain a healthy lifestyle.,健康な生活を維持することは重要です。
photograph,"【名】写真, 写真撮影;【動】写真を撮る.",/fəˈtɑːɡrɑːf/,I love to photograph beautiful landscapes.,私は美しい風景を撮影するのが大好きです。
section,"【名】部分, 区分.",/ˈsɛkʃən/,This book is divided into 10 sections.,この本は１０つのセクションに分かれている。
nevertheless,【副】それにもかかわらず.,/nɛvərðəˈlɛs/,"She was tired; nevertheless, she continued working.",彼女は疲れていた。それにもかかわらず、彼女は仕事を続けた。
remote,"【形】遠隔の, 遠い.",/rɪˈmoʊt/,The lighthouse was just a remote speck in the distance.,灯台は遠くのかすかな点だけでした。
trillion,"【名】1兆, 一兆.",/'trɪljən/,The company's revenue reached a trillion dollars last year.,会社の収益は昨年、1兆ドルに達しました。
agricultural,"【形】農業の, 農事の.",/ˌæɡrɪˈkʌltʃərəl/,The agricultural sector plays a vital role in the country's economy.,農業部門は、国の経済において重要な役割を果たしています。
precise,"【形】正確な, 精密な.",/pɹɪˈsaɪs/,He gave a precise answer to the question.,彼は質問に正確な答えをした。
elderly,"【形】年配の, 高齢の.",/ˈɛldərli/,The elderly couple enjoys taking walks in the park every morning.,年配の夫婦は毎朝公園で散歩を楽しんでいます。
impose,"【動】課す, 押し付ける.",/ɪmˈpoʊz/,The government plans to impose new taxes on high-income earners.,政府は高所得者に新たな税金を課す予定です。
mature,【形】成熟した;【動】成熟する.,/məˈtʃʊr/,She is a mature and responsible adult.,彼女は成熟した責任感のある大人です。
province,"【名】州, 省.",/prɑːvɪns/,He moved to a small province to escape the busy city life.,彼は忙しい都会の生活を逃れるために小さな州に引っ越しました。
smooth,【形】滑らかな;【動】滑らかにする.,/smʊð/,Her skin is smooth and flawless.,彼女の肌は滑らかで完璧です。
expert,"【名】専門家, 熟練者;【形】熟練した.",/ɪkˈspɜːrt/,He is an expert in his field.,彼は自分の分野の専門家です。
broad,"【形】広い, 広範囲の.",/brɔːd/,She has a broad knowledge of various subjects.,彼女はさまざまな科目について幅広い知識を持っています。
additional,"【形】追加の, 余分の.",/əˈdɪʃənəl/,I need to make an additional comment on the report.,私はレポートに追加のコメントを付け加える必要があります。
previous,"【形】以前の, 前の.",/pɹiːviəs/,The previous owner of the house left behind some furniture.,その家の前の所有者が家具を残していった。
throat,【名】喉.,/θroʊt/,I have a sore throat.,私はのどが痛いです。
currency,"【名】通貨, 貨幣.",/ˈkɜːrənsi/,I need to exchange my currency for euros.,私は通貨をユーロに両替する必要があります。
stare,【動】じっと見つめる;【名】凝視.,/stɛr/,She stared at him in disbelief.,彼女は信じられないという思いで彼を見つめた。
throughout,"【前】至る所に, 〜の間ずっと.",/θruːˈaʊt/,She worked hard throughout the day.,彼女は一日中一生懸命働きました。
muscle,【名】筋肉.,/ˈmʌsəl/,He has strong muscles from working out regularly.,彼は定期的にトレーニングをしているので、筋肉が強いです。
musician,"【名】音楽家, ミュージシャン.",/mjuˈzɪʃən/,The musician played a beautiful melody on the piano.,ピアニストは美しい旋律を弾いた。
bus,【名】バス.,/bʌs/,I will take the bus to school.,学校へはバスに乗るつもりです。
potentially,"【副】潜在的に, ひょっとすると.",/pəˈtɛnʃəli/,He is potentially the best candidate for the job.,彼は最高の候補者である可能性がある。
replace,"【動】取り替える, 置き換える.",/rɪˈpleɪs/,I need to replace the broken light bulb.,壊れた電球を取り替える必要があります。
series,"【名】シリーズ, 連続.",/ˈsɪəriːz/,I am currently watching a series on Netflix.,私は現在、Netflixでシリーズを視聴しています。
stability,"【名】安定, 安定性.",/stəˈbɪləti/,The stability of the economy is crucial for the country's development.,経済の安定は国の発展にとって重要です。
staff,"【名】スタッフ, 職員.",/stæf/,The staff at the hotel were very helpful and friendly.,ホテルのスタッフはとても親切でフレンドリーでした。
text,"【名】テキスト, 本文.",/tɛkst/,The text of the book is written in a clear and concise manner.,この本の原文は明確で簡潔に書かれています。
neighbor,"【名】隣人, 近所の人.",/ˈneɪ.bər/,My neighbor is a friendly person.,私の隣人は親切な人です。
myself,【代】私自身.,/maɪˈsɛlf/,I can take care of it myself.,私自身でそれを処理できます。
steel,"【名】鋼, 鋼鉄.",/stiːl/,The construction of the building required a lot of steel.,建物の建設にはたくさんの鋼鉄が必要でした。
agenda,"【名】議題, アジェンダ.",/əˈdʒɛndə/,Please make sure to review the agenda before the meeting.,会議前に必ず議題を確認してください。
repair,【動】修理する;【名】修理.,/rɪˈpɛər/,I need to repair my car.,私は車を修理する必要があります。
subsequent,"【形】次の, 後の.",/səbˈsɛkwənt/,The subsequent events were unexpected.,その後の出来事は予想外でした。
numerous,"【形】多数の, 数多くの.",/ˈnuːmərəs/,There are numerous books in the library.,図書館には非常に多くの本があります。
supply,【名】供給;【動】供給する.,/səˈplaɪ/,They supplied the villagers with food.,彼らは村人たちに食料を供給した。
wound,"【名】傷, 負傷;【動】傷つける.",/waʊnd/,She had a deep wound on her leg.,彼女は脚に深い傷を負っていた。
athlete,"【名】運動選手, アスリート.",/ˈæθ.liːt/,The athlete trained hard every day to improve his performance.,その競技者は、パフォーマンスを向上させるために毎日厳しくトレーニングしていました。
ourselves,【代】私たち自身.,/ɑːrˈsɛlvz/,We should believe in ourselves and our abilities.,私たちは自分自身と自分の能力を信じるべきです。
car,"【名】車, 自動車.",/kɑr/,I bought a new car.,私は新しい車を買った。
partnership,"【名】提携, 共同経営.",/pɑːtnərʃɪp/,The two companies formed a partnership to expand their market reach.,2つの会社は市場拡大のために提携を結んだ。
passenger,【名】乗客.,/ˈpæsən(d)ʒər/,The passenger boarded the plane.,乗客が飛行機に乗りました。
percentage,"【名】割合, パーセンテージ.",/pərˈsɛntɪdʒ/,The percentage of students who passed the exam is 80%.,試験に合格した学生の割合は80％です。
perfectly,"【副】完全に, 申し分なく.",/pərˈfɛktli/,She perfectly executed the dance routine.,彼女は完全にダンスのルーティンを実行しました。
lip,【名】唇.,/lɪp/,She applied a coat of lipstick to her lips.,彼女はくちびるに口紅を塗った。
poet,【名】詩人.,/poʊɪt/,The poet wrote beautiful verses that touched the hearts of many.,その詩人は多くの人々の心に触れる美しい詩を書いた。
winner,"【名】勝者, 優勝者.",/'wɪnər/,She was declared the winner of the competition.,彼女は競技の勝利者と宣言されました。
monthly,"【形】月ごとの, 毎月の.",/'mʌnθli/,I have a monthly meeting with my team.,私はチームと月に１回ミーティングを行っています。
nothing,"【代】何も...ない, 無.",/ˈnʌθɪŋ/,There's nothing I can do.,私にできることは何もない。
once,"【接】一度, 一旦.",/ wʌns /,"Once I got on the train, I felt relieved.",電車に乗ったら、安心しました。
pick,"【動】拾う, 選ぶ.",/pɪk/,He picked up the pen from the desk.,彼は机からペンを拾い上げた。
service,"【名】サービス, 奉仕;【動】提供する.",/'sɜːrvɪs/,The customer service at this restaurant is excellent.,このレストランのサービスは素晴らしいです。
powerful,"【形】強力な, 力強い.",/paʊərfl/,She has a powerful voice.,彼女は力強い声を持っています。
release,"【動】解放する, 釈放する;【名】解放, 発表.",/rɪˈliːs/,The company plans to release a new product next month.,会社は来月新製品を発売する予定です。
repeat,【動】繰り返す.,/rɪˈpiːt/,I will repeat the same question again.,同じ質問をもう一度繰り返します。
score,【名】得点;【動】得点する.,/skɔr/,The final score was calculated based on the average of all the individual scores.,最終得点は、個々の得点の平均に基づいて計算されました。
pregnancy,【名】妊娠.,/prɛɡnənsi/,She is experiencing a healthy pregnancy.,彼女は健康な妊娠を経験しています。
season,"【名】季節, シーズン.",/siːzən/,I love the autumn season.,私は秋の季節が大好きです。
seed,"【名】種, 種子.",/siːd/,She planted the seed in the garden.,彼女は庭に種を植えました。
printer,"【名】プリンター, 印刷機.",/ˈprɪntər/,I need to buy a new printer for my office.,オフィス用に新しいプリンターを買わなければなりません。
producer,"【名】製作者, プロデューサー.",/prəˈdjuːsər/,The producer is responsible for overseeing the manufacturing process.,生産者は製造プロセスの監督を担当しています。
snap,【動】パチンと鳴らす;【名】スナップ音.,/snæp/,The pup snapped at my hand.,小犬は私の手にかみついた。
promote,"【動】促進する, 昇進させる.",/prəˈmoʊt/,Social media can promote the spread of information.,ソーシャルメディアは情報の拡散を助長することができます。
spirit,"【名】精神, 気分.",/'spɪrɪt/,She has a strong spirit.,彼女は強い精神を持っています。
convert,"【動】変換する, 転換する.",/kənˈvɜrt/,I need to convert the file to a different format.,ファイルを別の形式に変換する必要があります。
warm,"【形】暖かい, 温かい;【動】暖める.",/wɔrm/,The warm sun was shining through the window.,太陽が窓を通して暖かく輝いていた。
part,"【名】部分, 部品.",/pɑːrt/,I need you to be a part of this project.,このプロジェクトの一部として参加してもらいたい。
childhood,"【名】幼少期, 子供時代.",/ˈtʃaɪldhʊd/,I have many fond memories from my childhood.,私は幼時の多くの思い出があります。
publication,"【名】出版物, 発行.",/pʌblɪˈkeɪʃən/,The publication of her new book was eagerly anticipated by her fans.,彼女の新しい本の出版は、彼女のファンに熱望されていました。
quietly,【副】静かに.,/'kwaɪətli/,"She sat quietly in the corner, reading her book.",彼女は静かに角に座って、本を読んでいた。
competitor,"【名】競争相手, ライバル.",/kəmˈpɛtɪtər/,She is a tough competitor in the business world.,彼女はビジネス界で厳しい競争相手です。
completely,"【副】完全に, すっかり.",/kəmˈpliːtli/,The answer is completely wrong.,その答えは完全に間違っている。
symptom,【名】症状.,/'sɪmptəm/,He experienced a symptom of the disease.,彼はその病気の症状を経験した。
relative,"【名】親戚, 親類;【形】相対的な.",/'ɹɛlətɪv/,Supply is relative to demand.,供給は需要に比例する。
tape,【名】テープ;【動】テープで留める.,/teɪp/,I used tape to wrap the gift.,私は贈り物を包むためにテープを使いました。
resist,【動】抵抗する.,/rɪˈzɪst/,She tried to resist the temptation to eat the chocolate cake.,彼女はチョコレートケーキを食べる誘惑に抵抗しようとした。
reveal,"【動】明らかにする, 暴露する.",/rɪˈviːl/,The detective will reveal the truth at the end of the movie.,探偵は映画の最後に真実を明らかにするでしょう。
risk,"【名】リスク, 危険.",/rɪsk/,Investing in stocks carries a certain level of risk.,株式投資には一定のリスクが伴います。
yellow,"【形】黄色い, 黄ばむ.",/jɛloʊ/,The sunflower is a beautiful yellow flower.,ひまわりは美しい黄色の花です。
sad,"【形】悲しい, 悲しげな.",/sæd/,The girl was sad when her best friend moved away.,彼女の親友が引っ越してしまった時、女の子は悲しんでいた。
December,【名】12月.,/dɪˈsɛmbər/,I'm looking forward to December.,12月が楽しみです。
despite,【前】...にもかかわらず.,/dɪˈspaɪt/,"Despite the rain, we still went for a walk.",雨にもかかわらず、私たちは散歩に行きました。
physical,"【形】身体の, 物理的な.",/fɪzɪkəl/,Regular exercise is important for maintaining good physical health.,定期的な運動は良い身体の健康を維持するために重要です。
population,"【名】人口, 住民.",/pɒpjʊˈleɪʃ(ə)n/,The population of the city has been steadily increasing over the years.,その都市の人口は年々着実に増加しています。
potato,【名】ジャガイモ.,/pəˈteɪ.toʊ/,I made mashed potatoes for dinner.,夕食にマッシュポテトを作りました。
hot,"【形】熱い, 暑い.",/hɑt/,The coffee is too hot to drink.,コーヒーは飲むには熱すぎます。
sexual,【形】性的な.,/'sɛksjuəl/,Sexual education is important for young adults.,若者にとって性教育は重要です。
imagination,"【名】想像力, 想像.",/ɪˌmædʒɪˈneɪʃən/,She has a vivid imagination.,彼女は豊かな想像力を持っています。
immediate,"【形】即時の, 迅速な.",/ɪˈmi.di.ət/,I need your immediate response to this matter.,この件については早急な対応が必要です。
sheep,【名】羊.,/ʃiːp/,The farmer has a lot of sheep.,農夫はたくさんの羊を持っている。
shirt,【名】シャツ.,/ʃɜrt/,I bought a new shirt yesterday.,昨日新しいシャツを買った。
dozen,"【名】12個, ダース.",/ˈdʌzən/,I bought a dozen eggs at the grocery store.,私はスーパーマーケットで卵を１ダース買いました。
similar,"【形】似ている, 類似した.",/sɪˈmɪlər/,The two paintings have a similar style.,2つの絵は似たスタイルを持っています。
skill,"【名】技術, 技能.",/skɪl/,He showed his skill in playing the piano.,彼はピアノを弾くことで彼の技術を発揮した。
no,【副】いいえ.,/nəʊ/,There is no way I can finish this task on time.,私にはこの仕事を時間内に終わらせる方法は一つもありません。
park,【名】公園;【動】駐車する.,/pɑrk/,Let's go to the park.,公園に行こう。
sky,"【名】空, 天.",/skaɪ/,The sky was beautiful and blue.,空は美しく青く見えた。
educate,"【動】教育する, 教える.",/ˈɛdʒʊˌkeɪt/,Parents have a responsibility to educate their children.,親は子供を教育する責任があります。
slightly,"【副】わずかに, 少し.",/slaɪtli/,I am slightly tired.,わずかに疲れています。
elsewhere,"【副】他の場所で, どこか別の所で.",/ˈɛls.wɛər/,I want to go elsewhere for my vacation.,私は休暇にどこか他の場所に行きたいです。
employer,"【名】雇用主, 会社.",/ɪmˈplɔɪər/,My employer is very supportive and understanding.,私の雇い主はとてもサポートしてくれるし、理解もあります。
entirely,"【副】完全に, 全体的に.",/ɪnˈtaɪərli/,She was entirely focused on her work.,彼女は完全に仕事に集中していました。
equally,"【副】等しく, 同様に.",/ˈiːkwəli/,All employees are treated equally regardless of their position.,全ての従業員は、彼らの立場に関係なく平等に扱われます。
specialist,【名】専門家;【動】専門とする.,/'spɛʃəlɪst/,I consulted a specialist about my health issues.,私は健康問題について専門家に相談しました。
speech,"【名】演説, スピーチ.",/spiːtʃ/,The Prime Minister gave a powerful speech.,首相は力強い演説を行ないました。
stair,【名】階段.,/stɛr/,I tripped and fell down the stair.,私はつまずいて階段から転げ落ちた。
February,【名】2月.,/ˈfɛb.ruˌɛr.i/,The month of February is the second month of the year.,2月は1年の第2の月です。
stimulate,"【動】刺激する, 活性化する.",/'stɪmjəˌleɪt/,Listening to music can stimulate creativity.,音楽を聴くことは創造性を刺激することができます。
strategy,"【名】戦略, 方針.",/ˈstrætədʒi/,Having a clear strategy is essential for success.,成功するためには明確な戦略が不可欠です。
strongly,"【副】強く, 激しく.",/ˈstrɔŋ.li/,She strongly believes in the power of education.,彼女は教育の力を強く信じています。
structural,【形】構造的な.,/ˈstrʌktʃərəl/,The structural integrity of the building was compromised after the earthquake.,地震後、建物の構造的な完全性が損なわれました。
student,【名】学生.,/'stu:dənt/,The student studies English every day.,毎日英語を勉強する学生です。
when,"【副】いつ, 〜するとき.",/wɛn/,"When I wake up, I always drink a cup of coffee.",私が目を覚ますと、いつもコーヒーを一杯飲みます。
tale,"【名】物語, 話.",/teɪl/,She told him a tale about a magical kingdom.,彼女は彼に魔法の王国についての話をした。
gene,【名】遺伝子.,/dʒiːn/,The descendent gene was passed down from generation to generation.,子孫の遺伝子は世代から世代へと受け継がれました。
taxi,【名】タクシー.,/ˈtæksi/,I took a taxi to the airport.,私は空港へタクシーで行きました。
therapy,"【名】療法, 治療.",/ˈθɛrəpi/,She is undergoing therapy to help manage her anxiety.,彼女は不安を管理するために療法を受けています。
theater,"【名】劇場, 演劇.",/ˈθiːtər/,I love going to the theater to watch plays.,私は劇場に行って演劇を観るのが大好きです。
thus,"【副】このように, だから.",/ðʌs/,She studied hard and thus passed the exam.,彼女は一生懸命勉強したので、結果的に試験に合格した。
tourist,【名】観光客.,/'tʊərɪst/,The tourist took a lot of photos during their trip.,旅行者は旅行中にたくさんの写真を撮りました。
toy,【名】おもちゃ.,/tɔɪ/,My daughter loves to play with her new toy.,娘は新しいおもちゃで遊ぶのが大好きです。
historian,【名】歴史家.,/hɪˈstɔːriən/,The historian conducted extensive research on ancient civilizations.,その歴史家は古代文明について広範な研究を行った。
university,【名】大学.,/juːnɪˈvɜːrsəti/,I am studying at a university.,私は大学で勉強しています。
web,"【名】ウェブ, クモの巣.",/wɛb/,I found a great website for learning web development.,私はウェブ開発を学ぶための素晴らしいウェブサイトを見つけました。
investor,【名】投資家.,/ɪnˈvɛstər/,The investor made a significant profit from their investments.,投資家は投資から大きな利益を得ました。
weekend,【名】週末.,/wiːkˈɛnd/,I'm looking forward to the weekend.,週末が楽しみです。
weird,"【形】奇妙な, 変な.",/wɪrd/,There was something weird about the incident.,その事件には何となく気味の悪いところがあった。
January,【名】1月.,/dʒæn(j)uːˈɛɹi/,I'm looking forward to the warm days of January.,1月の暖かい日を楽しみにしています。
wife,【名】妻.,/waɪf/,My wife is a great cook.,私の妻は素晴らしい料理人です。
July,【名】7月.,/dʒuˈlaɪ/,This July marks the fifth anniversary of our company.,今年の7月で当社が5周年を迎える。
June,【名】6月.,/dʒun/,The summer heat will start in June.,夏の暑さは６月から始まる。
laboratory,"【名】実験室, 研究所.",/ləˈbɒrəˌtɔːri/,I spent the whole day working in the laboratory.,私は一日中実験室で働いていました。
lawyer,【名】弁護士.,/ˈlɔɪər/,He hired a lawyer to help with his legal case.,彼は法的な問題を手伝ってもらうために弁護士を雇った。
forty,"【名】40, 四十.",/'fɔːrti/,I have forty apples.,私はりんごを40個持っています。
member,"【名】メンバー, 会員.",/'mɛmbər/,She is a valuable member of our team.,彼女は私たちのチームの貴重な一員です。
officer,"【名】役人, 警官.",/ˈɒfɪsər/,The police officer arrested the suspect.,警察官は容疑者を逮捕した。
oil,"【名】油, 石油.",/ɔɪl/,I need to change the oil in my car.,私は車のオイルを交換する必要があります。
outside,"【前】外側に, 外で.",/ˌaʊtˈsaɪd/,It is raining outside.,外は雨が降っています。
constantly,"【副】絶えず, 常に.",/'kɒnstəntli/,He is constantly checking his phone.,彼は常に携帯電話をチェックしています。
player,"【名】プレーヤー, 選手.",/ˈpleɪər/,The football team has an excellent player.,サッカーチームには優秀な選手がいます。
reader,【名】読者.,/ˈriːdər/,The reader should be aware of the consequences before making a decision.,読者は決断する前にその結果について意識しておくべきである。
same,"【形】同じ, 等しい.",/seɪm/,We have the same car.,私たちは同じ車を持っています。
silly,"【形】愚かな, ばかげた.",/'sɪli/,He made a silly mistake.,彼は愚かな間違いをした。
get,"【動】得る, 手に入れる.",/ɡɛt/,Can you get me a glass of water?,お水を１杯取ってきてくれますか？
hook,"【名】フック, 鉤;【動】引っ掛ける.",/hʊk/,I used a hook to hang my coat on the wall.,私はフックを使ってコートを壁に掛けました。
system,"【名】システム, 体系.",/ˈsɪstəm/,"The solar system consists of the sun, planets, and other celestial bodies.",太陽系は太陽、惑星、その他の天体から成り立っています。
teach,"【動】教える, 教育する.",/tiːtʃ/,I teach English at a school.,私は学校で英語を教えています。
themselves,【代】彼ら自身.,/ðəmˈsɛlvz/,They built the house themselves.,彼ら自身がその家を建てた。
tonight,"【名】今夜, 今晩.",/təˈnaɪt/,The weatherman predicts snow for tonight.,天気予報では今夜は雪が降ると予報している。
tomorrow,"【名】明日, 翌日.",/təˈmɒr.oʊ/,I will meet you tomorrow.,明日、あなたに会います。
motivation,"【名】動機, やる気.",/moʊtɪˈveɪʃən/,"The pay was good, and that was their only motivation to participate in the study.",報酬がよかった、それが彼らがその研究に参加した唯一の動機だった。
November,【名】11月.,/nəʊˈvɛmbər/,November is the eleventh month of the year.,11月は1年の十一月です。
obviously,"【副】明らかに, はっきりと.",/əbˈviːəsli/,"Obviously, she is the best candidate for the job.",明らかに、彼女はその仕事の最適な候補者です。
ability,"【名】能力, 才能.",/əˈbɪləti/,She has the ability to speak multiple languages.,彼女は複数の言語を話す能力を持っています。
abortion,"【名】中絶, 妊娠中絶.",/əˈbɔrʃən/,She decided to have an abortion.,彼女は中絶することを決めた。
extent,"【名】範囲, 程度.",/ɪkˈstɛnt/,The extent of the damage caused by the hurricane was catastrophic.,ハリケーンによる被害の範囲は壊滅的でした。
assure,"【動】保証する, 確約する.",/əˈʃʊr/,I assure you that everything will be alright.,私はあなたに全てが大丈夫になることを保証します。
random,"【形】無作為の, でたらめの.",/ˈrændəm/,I decided to take a random road trip.,私は無作為にロードトリップをすることに決めました。
flood,【名】洪水;【動】洪水を起こす.,/flʌd/,The market was flooded with foreign goods.,市場は外国製品であふれた。
meat,【名】肉.,/miːt/,I like to eat meat.,私は肉を食べるのが好きです。
bike,【名】自転車.,/baɪk/,I bought a new bike.,私は新しい自転車を買った。
religion,"【名】宗教, 信仰.",/rɪˈlɪdʒən/,Many people find comfort and guidance in their religion.,多くの人々は宗教によって慰めと導きを見つけます。
citizen,"【名】市民, 国民.",/ˈsɪtɪzn̩/,Every citizen has the right to vote.,すべての市民は投票する権利を持っています。
restaurant,"【名】レストラン, 飲食店.",/rɛstəˈrɒnt/,We went to the restaurant for dinner.,私たちは夕食のためにレストランへ行きました。
evaluation,"【名】評価, 査定.",/ɪˌvæljuˈeɪʃən/,The evaluation of the project was positive.,プロジェクトの評価は良かったです。
expose,"【動】暴露する, さらす.",/ɪkˈspoʊz/,The documentary will expose the truth about the corrupt government.,そのドキュメンタリーは腐敗した政府の真実を暴露する予定です。
filter,【動】濾過する;【名】フィルター.,/'fɪltər/,I use a water filter to purify water.,私は水を浄化するために浄水器を使っています。
shareholder,【名】株主.,/ˈʃɛərˌhoʊldər/,The shareholder meeting will be held next week.,株主総会は来週開催されます。
significantly,"【副】著しく, かなり.",/sɪɡˈnɪfɪkəntli/,She has significantly improved her piano skills.,彼女はピアノのスキルを大幅に向上させました。
solve,"【動】解決する, 解く.",/sɒlv/,He solved the puzzle in five minutes.,彼は５分でパズルを解きました。
funny,"【形】面白い, 滑稽な.",/'fʌni/,He has a funny personality.,彼は面白い性格をしています。
unknown,"【形】未知の, 不明の.",/ʌnˈnoʊn/,The identity of the mysterious figure remains unknown.,謎の人物の正体は知られていない。
imagine,【動】想像する.,/ɪˈmædʒɪn/,I imagined a world where everyone was happy.,私は全員が幸せな世界を想像した。
immigrant,"【名】移民, 移住者.",/ˈɪm.ɪ.ɡrənt/,She is an immigrant from Mexico.,彼女はメキシコからの移民です。
insight,"【名】洞察, 見識.",/ˈɪn.saɪt/,She has a deep insight into human behavior.,彼女は人間の行動に深い洞察を持っている。
institutional,"【形】制度的な, 組織的な.",/ˌɪnstɪˈtuːʃənəl/,"The new regulations have significantly impacted the institutional framework of our organization, leading to major structural changes.",新しい規制は、私たちの組織の制度的枠組みに大きな影響を与え、大きな構造改革につながりました。
laughter,【名】笑い.,/'lɑːftə/,Her laughter filled the room.,彼女の笑いが部屋に満ちた。
league,"【名】リーグ, 連盟.",/liːɡ/,She plays in the local soccer league.,彼女は地元のサッカーリーグでプレーしています。
lovely,"【形】愛らしい, かわいらしい.",/ˈlʌvli/,She was wearing a lovely dress.,彼女は素敵なドレスを着ていた。
mail,【名】郵便物;【動】郵送する.,/meɪl/,I received an email from my friend.,友達からメールを受け取りました。
nearly,"【副】ほとんど, ほぼ.",/ˈnɪərli/,I nearly missed the bus.,私はほとんどバスに乗り遅れた。
newly,"【副】新たに, 最近.",/ˈnjuː.li/,I just bought a newly released phone.,私は最近発売された新しい携帯電話を買いました。
pale,"【形】青白い, 淡い.",/peɪl/,Her face turned pale when she heard the bad news.,彼女は悪い知らせを聞いて顔が青白くなった。
their,"【代】彼らの, 彼女らの.",/ðɛər/,Their house is very big.,彼らの家はとても大きいです。
topic,"【名】話題, テーマ.",/'tɒpɪk/,We discussed a variety of topics yesterday.,昨日は様々なトピックを話し合いました。
rare,"【形】珍しい, 稀な.",/reər/,Finding a rare gemstone is like finding a needle in a haystack.,珍しい宝石を見つけることは、ハヤから針を見つけるようなものだ。
reduction,"【名】削減, 縮小.",/rɪˈdʌkʃən/,The reduction in pollution levels has improved the air quality in the city.,大気汚染レベルの低下により、都市の空気の質が改善されました。
reform,"【名】改革, 改正;【動】改革する.",/rɪˈfɔːrm/,The government is planning to reform the education system.,政府は教育制度を改革する予定です。
usual,"【形】通常の, 普段の.",/ˈjuːʒuəl/,She had a usual morning routine.,彼女にはおきまりの朝の習慣があった。
usually,"【副】通常, 普段は.",/ˈjuːʒuəli/,He usually wakes up at 6am.,彼は通常6時に起きます。
virus,【名】ウイルス.,/'vaɪərəs/,The virus spread rapidly throughout the city.,ウイルスは市内で急速に広がった。
Wednesday,【名】水曜日.,/'wɛnzdeɪ/,I will have a meeting on Wednesday.,私は水曜日に会議を持つ予定です。
weekly,【形】毎週の;【副】毎週.,/'wiːkli/,I have a weekly meeting with my team.,私はチームと毎週ミーティングをしています。
week,【名】週.,/wiːk/,I'm looking forward to next week.,来週を楽しみにしています。
root,"【名】根, ルーツ;【動】根付く.",/ruːt/,The root of the tree goes deep into the ground.,木の根は地面に深く伸びています。
database,【名】データベース.,/ˈdeɪtəbeɪs/,I need to update the database with the latest information.,最新の情報でデータベースを更新する必要があります。
effectively,【副】効果的に.,/ɪˈfɛktɪvli/,She effectively managed the project and completed it on time.,彼女は効果的にプロジェクトを管理し、期日までに完了させました。
