entry,meaning,ipa,example_sentence,translated_sentence
tribunal,"【名】裁判所, 法廷",/ˌtrɪˈbjuːnəl/,The tribunal will make a final decision on the case.,裁判所はこの事件について最終的な判断を下します。
defective,"【形】欠陥のある, 不完全な",/dɪˈfɛktɪv/,The company issued a recall for the defective product.,会社は欠点のある製品のリコールを発表しました。
petition,"【名】嘆願, 請願書;【動】請願する",/pəˈtɪʃən/,I signed a petition to save the endangered species.,絶滅の危機に瀕した種を救うために請願に署名しました。
constituency,"【名】選挙区, 支持母体",/kənˈstɪtʃuənsi/,The constituency is divided into several districts.,選挙区はいくつかの地区に分割されています。
volatile,"【形】揮発性の, 不安定な",/vɑlˈaɪtəl/,He has a volatile temper.,彼は気性が荒いです。
earthquake,【名】地震,/ˈɜrθkweɪk/,The earthquake shook the entire city.,地震が街全体を揺らした。
incremental,"【形】段階的な, 徐々の",/ˌɪŋ.krəˈmɛn.təl/,The company implemented an incremental approach to improve its production efficiency.,会社は生産効率を向上させるために段階的な手法を導入しました。
maneuver,"【名】巧妙な操作, 策略;【動】...を巧みに操る",/məˈnuːvər/,The pilot performed a complex maneuver during the airshow.,パイロットはエアショー中に複雑な操縦を行いました。
thorough,"【形】徹底的な, 綿密な",/ˈθʌrə/,He conducted a thorough investigation into the matter.,彼はその問題について徹底的な調査を行った。
empower,"【動】...を力づける, 権限を与える",/ɪmˈpaʊər/,The new legislation will empower women to fight for their rights.,新しい法律は、女性が自分たちの権利のために闘う力を与えてくれるでしょう。
woe,"【名】悲哀, 苦痛",/wəʊ/,She was filled with woe after the loss of her loved one.,彼女は愛する人を失った後、悲しみに満ちていました。
exempt,【形】免除された;【動】...を免除する,/ɪɡˈzɛmpt/,She was exempted from paying taxes due to her low income.,彼女は低所得のために税金を免除されました。
inequality,"【名】不平等, 格差",/ɪnɪˈkwɒlɪti/,There is a growing inequality between the rich and the poor in our society.,私たちの社会では、富裕層と貧困層の間で格差が広がっています。
feasible,"【形】実現可能な, 実行できる",/'fiːzəbəl/,The proposed plan is feasible and can be implemented within the given timeframe.,提案された計画は実現可能であり、与えられた時間枠内で実施することができます。
litigation,"【名】訴訟, 告訴",/lɪtəˈɡeɪʃən/,The company is currently involved in a litigation case.,同社は現在、訴訟事件に巻き込まれている。
omit,"【動】...を省略する, 除外する",/əˈmɪt/,I accidentally omitted a word from the sentence.,私は誤って文から単語を省略しました。
proportional,"【形】比例した, 釣り合った",/prəˈpoʊrʃənəl/,The amount of time spent on a task is directly proportional to the complexity of the task.,タスクに費やす時間は、そのタスクの複雑さに比例しています。
purchaser,"【名】買い手, 購入者",/ˈpɜːrtʃəsər/,The purchaser bought a new car.,購入者は新しい車を買いました。
soar,【動】急上昇する;【名】急上昇,/sɔːr/,The eagle soared high in the sky.,ワシは空高く舞い上がった。
citation,"【名】引用, 表彰",/saɪˈteɪʃən/,The professor included a citation in his research paper.,教授は研究論文に引用を含めました。
creditor,【名】債権者,/ˈkɹɛdɪtəɹ/,The creditor demanded immediate payment of the debt.,債権者は債務の即時支払いを要求した。
depict,"【動】...を描く, 描写する",/dɪˈpɪkt/,The artist used vibrant colors to depict the beauty of nature.,芸術家は鮮やかな色を使って自然の美しさを描き表しました。
openly,"【副】率直に, 公然と",/ˈoʊpənli/,He openly expressed his opinion.,彼は公然と意見を表明した。
suburb,"【名】郊外, 近郊",/səˈbɜːrb/,I live in a quiet suburb.,私は静かな郊外に住んでいます。
dismissal,"【名】解雇, 解任",/dɪsˈmɪsəl/,The company announced the dismissal of several employees.,会社は数人の従業員の解雇を発表しました。
consolidate,"【動】...を統合する, 強化する",/kənˈsɒlɪdeɪt/,The company plans to consolidate its operations in order to improve efficiency.,会社は効率を改善するために業務を統合する予定です。
precious,"【形】貴重な, 大切な",/'prɛʃəs/,This necklace is made of precious gemstones.,このネックレスは貴重な宝石で作られています。
asylum,"【名】亡命, 避難所",/əˈsaɪləm/,The government has decided to build a new asylum for the homeless.,政府はホームレスのための新しい保護収容所を建設することを決定しました。
sovereignty,"【名】主権, 独立",/sɒvərɪnti/,The country fought for its sovereignty and independence.,その国は主権と独立を求めて戦った。
insurgency,"【名】反乱, 暴動",/ɪnˈsɜːrdʒənsi/,The government is struggling to control the insurgency in the region.,政府はその地域の反乱を制御するのに苦労しています。
severely,"【副】厳しく, 激しく",/sɪˈvɪərli/,The storm severely damaged the house.,嵐は家を厳しく破壊しました。
electorate,"【名】有権者, 選挙民",/ɪˈlɛktərət/,The electorate will have the opportunity to vote in the upcoming election.,選挙民は今度の選挙で投票する機会があります。
cautious,"【形】用心深い, 慎重な",/ˈkɔːʃəs/,She is always cautious when crossing the road.,彼女は道路を渡る時にいつも注意深いです。
counterpart,"【名】相手, 対応物",/ˈkaʊntərpɑrt/,you are counterpart of a member　of class of mine.,あなたは私のクラスのメンバーの一員です。
actively,"【副】積極的に, 活発に",/ˈæk.tɪv.li/,She is actively participating in the community service.,彼女は積極的に地域奉仕活動に参加しています。
quota,"【名】割当, ノルマ",/'kwəʊ.tə/,She exceeded her sales quota for the month.,彼女は今月の売り上げ目標を超えました。
arbitration,"【名】仲裁, 調停",/ˌɑːr.bɪˈtreɪ.ʃən/,The dispute was finally resolved through arbitration.,その紛争は最終的に仲裁を通じて解決されました。
horror,"【名】恐怖, 戦慄",/ˈhɒrər/,I love watching horror movies.,私はホラー映画を見るのが好きです。
prosecution,"【名】起訴, 訴追",/prəˌsɛˈkjuːʃən/,The prosecution presented strong evidence against the defendant.,検察は被告に対して強力な証拠を提示した。
imminent,"【形】差し迫った, 迫っている",/ˈɪmɪnənt/,The storm is imminent.,嵐が差し迫っている。
notably,"【副】著しく, 特に",/ˈnoʊtəbli/,"Notably, the renowned scientist made a groundbreaking discovery in the field of physics.",注目すべきことに、この有名な科学者は物理学の分野で画期的な発見をしました。
shortfall,"【名】不足, 欠陥",/ˈʃɔrtfɔl/,There was a shortfall in the budget for the project.,プロジェクトの予算に不足額がありました。
rose,【名】バラ;【動】(価格が)上昇した,/ɹoʊz/,I bought a rose for her.,彼女のためにバラを買った。
super,"【形】非常に優れた, 最高の",/suːpər/,He is doing a super job.,彼ならすごいことをやらかしそうだ。
spill,"【動】こぼれる, こぼす;【名】こぼれ, 漏れ",/spɪl/,Be careful not to spill your drink.,飲み物をこぼさないように気をつけてください。
opinion,【動】騙す;【名】詐欺,/əˈpɪnjən/,I have a different opinion on this matter.,この件について私は異なる意見を持っています。
constantly,"【副】絶えず, 常に.",/ˈkɑːnstəntli/,I am constantly learning new things.,私は常に新しいことを学んでいます。
meantime,"【名】合間, 合間の時間",/miːn.taɪm/,"In the meantime, I will finish my work.",その間に、私は仕事を終わらせます。
unity,"【名】統一, 一体",/juːˈnɪti/,Unity is important for a team to succeed.,チームが成功するためには団結が重要だ。
toll,"【名】通行料, 損害;【動】犠牲を払う",/təʊl/,The toll for using the highway was surprisingly high.,高速道路の使用料金が驚くほど高かった。
halt,"【動】停止する, 停止させる;【名】停止, 中断",/hɔlt/,The construction work came to a halt due to the heavy rain.,大雨のため、工事が停止しました。
intent,"【名】意図, 目的",/ɪnˈtɛnt/,She was intent on her book.,彼女は本に夢中になっていた。
mill,"【名】製粉所, 工場",/mɪl/,The old mill by the river has been converted into a charming restaurant.,川のそばの古い製粉所は、魅力的なレストランに改装されました。
nomination,"【名】指名, 推薦",/nɑmɪˈneɪʃən/,Her nomination for the award was well-deserved.,彼女の受賞のノミネートは当然だった。
parameter,"【名】パラメーター, 範囲",/pəˈræmətər/,The function takes a parameter and returns a value.,関数はパラメータを受け取り、値を返します。
tier,"【名】階層, 層",/tɪər/,She is at the top tier of her profession.,彼女は自分の職業の最上位にいます。
behalf,"【名】利益のために, ...の代理として",/bɪˈhɑːf/,I am speaking on behalf of my friend.,私は友人の味方として話しています。
brutal,"【形】残酷な, 無慈悲な",/ˈbruːtəl/,The brutal attack left him with severe injuries.,けもののような攻撃で彼は重傷を負った。
bullet,【名】弾丸,/'bʊlɪt/,He dodged the bullet just in time.,彼はギリギリで弾丸を避けた。
precision,"【名】精度, 正確さ",/prɪˈsɪʒən/,The precision of the measurements was crucial for the experiment.,測定の精度は実験にとって重要でした。
cheaply,"【副】安く, 安価で",/tʃiːpliː/,I bought this shirt cheaply at the thrift store.,私はこのシャツをリサイクルショップで安く買いました。
prosecutor,"【名】検察官, 検事",/prəˈsɛkjətər/,The prosecutor presented compelling evidence during the trial.,検察官は裁判中に説得力のある証拠を示した。
protocol,"【名】規約, 規則",/'proʊtəˌkɔl/,The protocol for diplomatic meetings is to exchange formal greetings and engage in discussions.,外交会議のプロトコルは、正式な挨拶を交換し、議論に参加することです。
supermarket,【名】スーパーマーケット,/suːpərˌmɑːrkɪt/,I went to the supermarket to buy some food.,私は食べ物を買うためにスーパーマーケットに行きました。
provincial,"【形】地方の, 地方自治の",/prəˈvɪnʃəl/,She moved to a provincial town to escape the hustle and bustle of the city.,彼女は都会の喧騒を逃れるために地方の町に引っ越しました。
website,【名】ウェブサイト,/ˈwɛb.saɪt/,I found a great website for learning languages.,言語学習のための素晴らしいウェブサイトを見つけました。
breach,"【名】違反, 侵害",/briːtʃ/,He was accused of breaching the contract.,彼は契約を破ったと非難された。
clash,"【動】衝突する, 対立する;【名】衝突, 対立",/klæʃ/,The two cars clashed loudly.,2台の車がガチャンと大きな音を立ててぶつかり合った。
gang,"【名】ギャング, 犯罪組織",/ɡæŋ/,The gang gathered in the alleyway.,一団は路地裏に集まった。
punishment,"【名】罰, 処罰",/pʌnɪʃmənt/,He received a severe punishment for his actions.,彼は自分の行動のために厳しい罰を受けた。
classroom,"【名】教室, 授業",/ˈklɑːs.ruːm/,I am in the classroom.,私は教室にいる。
readily,"【副】すぐに, すぐ対応して",/ˈrɛdɪli/,She readily agreed to help me with my project.,彼女は快く私のプロジェクトを手伝うことに同意しました。
communism,【名】共産主義,/kɑˈmjuːnɪzəm/,Communism is an ideology that advocates for the collective ownership of resources and the absence of social classes.,共産主義は資源の共有と社会階級の存在しないことを主張するイデオロギーです。
rejection,"【名】拒絶, 拒否",/rɪˈdʒɛkʃən/,I faced rejection when I applied for the job.,私はその仕事に応募した時に断られました。
confrontation,"【名】対立, 衝突",/kɒnfrʌnˈteɪʃən/,There was a confrontation between the two rival gangs.,二つのライバルギャングの間で対立がありました。
considerably,"【副】かなり, 相当",/kənˈsɪdərəbli/,The price of the car has increased considerably.,車の価格はかなり上がりました。
correctly,"【副】正しく, 正確に",/kəˈrɛktli/,Please answer the question correctly.,質問に正しく答えてください。
ultimate,"【形】究極の, 最終的な",/ˈʌltɪmət/,He reached the ultimate level of success.,彼は成功の最後のレベルに到達した。
rhetoric,"【名】修辞学, レトリック",/rɛtərɪk/,She studied rhetoric in college.,彼女は大学で修辞学を学んだ。
sadly,"【副】悲しくも, 残念ながら",/'sædli/,She looked sadly at the old photograph.,彼女は古い写真を悲しそうに見つめた。
defendant,【名】被告人,/dɪˈfɛndənt/,The defendant pleaded not guilty to the charges.,被告は罪状を否認しました。
scenario,"【名】シナリオ, 想定",/səˈnɛəri.oʊ/,The screenwriter is working on a new scenario for the movie.,脚本家は映画の新しいシナリオに取り組んでいます。
deprive,"【動】...を奪う, 取り上げる",/dɪˈpraɪv/,The thief tried to deprive me of my wallet.,泥棒は私の財布を奪おうとした。
seller,"【名】売り手, 販売者",/'sɛlər/,The seller offered a discount on the product.,売り手はその商品に割引を提供しました。
senator,【名】上院議員,/ˈsɛnətər/,The senator delivered a powerful speech in the parliament.,元老院議員は議会で力強いスピーチを行った。
shipment,"【名】出荷, 輸送",/ˈʃɪpmənt/,The shipment arrived at the port on time.,船積みは予定通り港に到着しました。
dominance,"【名】優勢, 支配",/dɑːmɪnəns/,She asserted her dominance over the team by leading them to victory.,彼女はチームを勝利に導くことで優越感を主張しました。
slim,"【形】細い, 薄い",/slɪm/,She has a slim figure.,彼女はほっそりとした体格です。
slowdown,"【名】景気減速, 減少",/sləʊdaʊn/,Traffic congestion caused a slowdown on the highway.,高速道路で交通渋滞が発生し、速度が落ちました。
encyclopedia,【名】百科事典,/ɪnˌsaɪkləˈpiːdiə/,I found a lot of interesting information in the encyclopedia.,私は百科事典でたくさんの興味深い情報を見つけました。
enhancement,"【名】強化, 増強",/ɪnˈhænsmənt/,The new software update brings several enhancements to the system.,新しいソフトウェアのアップデートにより、システムにいくつかの改善がもたらされます。
entity,"【名】存在, 実体",/ˈɛn.tə.ti/,The Loch Ness Monster is a famous mythical entity.,ネッシーは有名な神話上の存在です。
ex,"【前】前の, 元の",/ɛks/,I need to exfoliate my skin before applying makeup.,メイクをする前に、肌の角質を取り除く必要があります。
explicit,"【形】明確な, 明示的な",/ɪkˈsplɪsɪt/,He made his intentions explicit.,彼は自分の意図を明白に述べた。
pill,"【名】錠剤, ピル",/pɪl/,I take a pill every morning.,私は毎朝丸薬を飲みます。
stance,"【名】立場, 姿勢",/stæns/,His stance on the issue is clear.,彼の態度は明確です。
squeeze,"【動】...を押しつぶす, 圧縮する",/skwiːz/,I squeeze the lemon to get the juice.,私はレモンを絞ってジュースを取ります。
flexibility,"【名】柔軟性, 弾力性",/flɛksəˈbɪləti/,Flexibility is important in adapting to new situations.,新しい状況に適応するためには柔軟性が重要です。
surveillance,"【名】監視, 監督",/sərˈveɪləns/,The police have increased surveillance on the suspect.,警察は容疑者の監視を強化しました。
geographic,"【形】地理的な, 地理的に",/dʒiəˈɡræfɪk/,Geographic information systems are used to analyze and visualize spatial data.,地理情報システムは、空間データを分析し可視化するために使用されています。
geographical,【形】地理的な,/dʒiəˈɡræfɪkəl/,Geographical factors play a crucial role in determining a country's economic development.,地理的要素は、国の経済発展において重要な役割を果たしています。
tempt,"【動】...を誘惑する, 魅了する",/tɛmpt/,The sunshine tempted people out.,太陽の日差しに誘われて人々が外出した。
payout,"【名】払い戻し, 支払い",/ˈpeɪaʊt/,The company will process the payout within 3 business days.,会社は3営業日以内に支払いを処理します。
contributor,"【名】貢献者, 寄稿者",/kənˈtrɪbjutər/,She is a valuable contributor to the team.,彼女はチームにとって貴重な貢献者です。
governmental,"【形】政府の, 政治的な",/ɡʌvərˈmɛntəl/,The governmental policies have a significant impact on the economy.,政府の政策は経済に大きな影響を与えます。
thumb,【名】親指,/θʌm/,He sucked his thumb when he was a child.,彼は子供の頃、親指をしゃぶっていました。
translation,"【名】翻訳, 翻訳文",/trænˈsleɪʃən/,Translation is the process of converting text from one language to another.,訳すことは、テキストを一つの言語から別の言語に変換するプロセスです。
efficiently,【副】効率的に,/ɪˈfɪʃəntli/,He completed the task efficiently.,彼は効率的に仕事を完了した。
unlimited,"【形】無制限の, 制約のない",/ʌnˈlɪmɪtɪd/,The possibilities are unlimited.,可能性は限りないです。
hydrogen,【名】水素,/ˈhaɪdrədʒən/,Hydrogen is the lightest and most abundant element in the universe.,水素は宇宙で最も軽く、最も豊富な元素です。
icon,"【名】アイコン, 象徴",/ˈaɪkɑn/,She is an icon of style and elegance.,彼女はスタイルとエレガンスの象徴です。
cleric,"【名】聖職者, 宗教指導者",/ˈklɛrɪk/,The cleric performed a healing ritual on the injured soldier.,聖職者は負傷した兵士に癒しの儀式を行った。
usage,"【名】使用法, 使用量",/ˈjuːsɪdʒ/,I need help with the usage of this software.,このソフトウェアの使い方について助けが必要です。
vaccine,"【名】ワクチン, 予防接種",/væksiːn/,The vaccine is a preventive measure against infectious diseases.,ワクチンは感染症に対する予防策です。
importantly,"【副】重要なことに, 重要なのは",/ɪmˈpɔːrtəntli/,"Importantly, she emphasized the need for teamwork in achieving the company's goals.",重要なことには、彼女は会社の目標を達成するためにチームワークの必要性を強調しました。
vector,"【名】ベクトル, 方向",/'vɛktər/,I learned about vector in my math class.,数学の授業でベクトルについて学びました。
independently,"【副】独立して, 独自に",/ˌɪndɪˈpɛndəntli/,She decided to live independently after graduating from college.,彼女は大学を卒業した後、独立して生活することを決めました。
visa,"【名】ビザ, 査証",/'viːzə/,I need to apply for a visa to visit Japan.,日本を訪れるためにビザを申請する必要があります。
insurer,"【名】保険業者, 保険会社",/ɪnˈʃʊərər/,The insurer denied my claim for the car accident.,保険業者は私の自動車事故の請求を拒否しました。
jointly,"【副】共同で, 共同で",/'d͡ʒɔɪntli/,They worked jointly on the project.,彼らはプロジェクトに共同して取り組んだ。
wireless,"【形】無線の, ワイヤレスの",/'waɪərlɛs/,I love using wireless headphones while working out.,私は運動中に無線ヘッドフォンを使うのが好きです。
adequately,"【副】適切に, 十分に",/ˈædɪkwɪtli/,The company adequately addressed the concerns of its customers.,会社は顧客の懸念事項に適切に対応しました。
kidnap,【動】誘拐する,/kɪdˈnæp/,The police rescued the kidnapped child.,警察は誘拐された子供を救出した。
worthy,"【形】価値のある, 値する",/'wɜrði/,She is a worthy candidate for the scholarship.,彼女は奨学金の候補者として価値のある存在です。
yearly,"【副】毎年, 年に一度",/jɪrli/,I go on a yearly vacation with my family.,私は家族と年に一度の休暇に行きます。
legislative,"【形】立法の, 法律制定の",/lɛdʒɪsˈleɪtɪv/,The legislative branch is responsible for making laws.,立法府は法律を制定する責任を負います。
loser,"【名】敗者, 負けた人",/ˈluː.zər/,He is a sore loser.,彼は負けず嫌いだ。
prosper,"【動】繁栄する, 成功する",/prɑːˈspɜːr/,The company continues to prosper despite the challenging economic conditions.,経済状況の厳しい中でも、会社は繁栄し続けています。
fleet,"【名】艦隊, 車両群",/fliːt/,The fleet of ships sailed across the ocean at a fast speed.,船団は速い速度で海を航海しました。
optimum,"【形】最適な, 最高の",/ˈɒptɪməm/,The optimum temperature for this experiment is 25 degrees Celsius.,この実験の最適な温度は摂氏25度です。
prosperity,"【名】繁栄, 成功",/prɑːˈspɛrəti/,The country experienced a period of prosperity after implementing economic reforms.,経済改革を実施した後、その国は繁栄の時期を経験しました。
newcomer,"【名】新参者, 初心者",/ˈnjuːkʌmər/,She is a newcomer to the company.,彼女は会社の新人です。
optimal,"【形】最適な, 最善の",/ˈɒptɪməl/,Finding the optimal solution requires careful analysis.,最適解を見つけるには、慎重な分析が必要だ。
oversight,"【名】監視, 監督",/ˈoʊvərsaɪt/,The project manager's oversight led to a major mistake.,プロジェクト・マネージャーの見落としが大きなミスにつながった。
peso,【名】ペソ,/'peɪsoʊ/,I exchanged my dollars for pesos at the bank.,私は銀行でドルをペソに両替しました。
policeman,【名】警察官,/pəˈliːsmən/,The policeman arrested the thief.,警察官は泥棒を逮捕した。
policyholder,【名】保険契約者,/ˈpɒlɪsɪˌhəʊldə/,The policyholder is responsible for paying the insurance premiums.,保険契約者は保険料を支払う責任があります。
poster,"【名】ポスター, 張り紙",/'poʊstər/,I have a poster of my favorite band in my room.,部屋に自分の好きなバンドのポスターを持っている。
quantify,"【動】...を定量化する, 数量化する",/kwɑːn.tɪ.faɪ/,It is impossible to quantify the value of life.,命の価値を量ることは不可能です。
reassure,"【動】...を安心させる, 確信させる",/ˌriː.əˈʃʊr/,I reassured my friend that everything would be okay.,私は友達にすべてが大丈夫だと安心させました。
recipient,"【名】受取人, 受領者",/rɪˈsɪpiənt/,The recipient of the award was overwhelmed with joy.,受賞者は喜びに打ち震えました。
bust,"【動】逮捕する, 壊す",/bʌst/,She accidentally bumped into a bust and knocked it over.,彼女はうっかりと胸像にぶつかって倒してしまった。
repeatedly,"【副】繰り返し, 再三",/rɪˈpiːtɪdli/,He repeatedly asked her to go out with him.,彼は彼女に何度もデートに行くように頼んだ。
respective,"【形】それぞれの, 各自の",/rɪˈspɛktɪv/,They have their respective roles in the project.,彼らはプロジェクトにそれぞれの役割を持っています。
constitutional,"【形】憲法の, 憲法に関する",/kɒnstɪˈtjuːʃənəl/,The constitutional rights of citizens must be protected.,市民の憲法上の権利は保護されなければならない。
container,"【名】コンテナ, 容器",/kənˈteɪnər/,I packed my lunch in a container.,私はランチを容器に詰めました。
cumulative,"【形】累積的な, 蓄積的な",/kjuːmjələtɪv/,The cumulative number of COVID-19 cases continues to rise.,新型コロナウイルスの累積感染者数は増加し続けています。
disastrous,"【形】悲惨な, 破滅的な",/dɪˈzæstrəs/,The hurricane caused disastrous damage to the coastal towns.,ハリケーンは沿岸の町に壊滅的な被害をもたらしました。
satisfactory,"【形】満足のいく, 満足できる",/sætɪsˈfæktəri/,The service at the restaurant was satisfactory.,レストランのサービスは満足のいくものでした。
emission,"【名】排出, 放出",/ɪˈmɪʃən/,The emission of greenhouse gases is a major concern for environmentalists.,温室効果ガスの排出は環境保護主義者にとって重大な関心事です。
seeker,"【名】探し求める人, 探求者",/siːkər/,She is a seeker of truth.,彼女は真実の追求者です。
franc,【名】フラン,/fræŋk/,I exchanged my dollars for francs at the bank.,私は銀行でドルをフランに両替しました。
statistical,"【形】統計の, 統計学的な",/stəˈtɪstɪkəl/,Statistical analysis is used to interpret data and draw conclusions.,統計分析はデータを解釈し、結論を導くために使用されます。
stockholder,【名】株主,/ˈstɑkhoʊldər/,The stockholder meeting will be held next week.,株主総会は来週開催されます。
insufficient,"【形】不十分な, 不足している",/ˌɪnsəˈfɪʃənt/,The amount of food provided was insufficient for the number of guests.,提供された食べ物の量は、ゲストの数に対して不十分でした。
successive,"【形】連続する, 引き続く",/səkˈsɛsɪv/,He scored successive goals in the match.,彼は試合で連続したゴールを決めた。
ounce,【名】オンス,/aʊns/,I need to measure one ounce of flour for this recipe.,このレシピには小麦粉を1オンス計量する必要があります。
pet,"【名】ペット, 愛玩動物",/pɛt/,My pet is a small dog.,私のペットは小さな犬です。
supervision,"【名】監督, 監視",/suːpərˈvɪʒən/,The supervisor provided close supervision to the team.,スーパーバイザーはチームを厳しく監督した。
swiftly,"【副】迅速に, 素早く",/ˈswɪftli/,He swiftly ran towards the finish line.,彼はすばやくゴールラインに向かって走った。
taxpayer,【名】納税者,/'tæksˌpeɪər/,Every taxpayer must file their tax return by April 15th.,すべての納税者は4月15日までに納税申告書を提出しなければなりません。
temporarily,"【副】一時的に, 暫定的に",/tɛmpəˈrɛrəli/,I will temporarily stay at my friend's house until I find a new apartment.,新しいアパートを見つけるまで、一時的に友達の家に滞在します。
theft,"【名】盗難, 窃盗",/θɛft/,The theft of the valuable painting shocked the art community.,貴重な絵画の盗難は、美術界を驚かせました。
regain,"【動】...を取り戻す, 回復する",/ɹɪˈɡeɪn/,She worked hard to regain her confidence after the accident.,彼女は事故後、自信を取り戻すために一生懸命働きました。
unexpectedly,"【副】予期せず, 突然",/ʌnɪkˈspɛktɪdli/,I unexpectedly ran into my old friend at the grocery store.,思いがけなく、スーパーで昔の友達に出会った。
virtual,"【形】仮想の, 仮の",/'vɜːrtʃuəl/,He claimed to be a virtual prisoner in his own home.,彼は自宅で事実上の囚人になっていると主張した。
statistically,【副】統計的に,/stəˈtɪstɪkli/,"Statistically, women live longer than men.",統計的に、女性の方が男性よりも長生きします。
accountability,"【名】説明責任, 責任",/əˌkaʊn.təˈbɪl.ə.ti/,Accountability is important in any organization.,組織においては責任が重要です。
healthcare,"【名】ヘルスケア, 健康管理",/hɛlθkɛər/,I work in the healthcare industry.,私は医療業界で働いています。
laptop,【名】ノートパソコン,/ˈlæp.tɒp/,I bought a new laptop yesterday.,私は昨日新しいノートパソコンを買いました。
redesign,"【名】再設計, 再構成",/ɹiːdɪˈzaɪn/,The company decided to redesign their website to improve user experience.,会社はユーザー経験を向上させるためにウェブサイトの再設計を決定しました。
regime,"【名】体制, 政権",/ɹɪˈʒiːm/,The new regime implemented strict policies to maintain control.,新政権は厳しい政策を実施して統制を維持した。
optimization,"【名】最適化, 改善",/ˌɑptɪmɪˈzeɪʃən/,Optimization is the process of making something as effective and efficient as possible.,最適化は、何かをできるだけ効果的かつ効率的にするプロセスです。
outsource,"【動】...を外注する, アウトソーシングする",/ˌaʊtˈsɔːrs/,Many companies choose to outsource their IT services to reduce costs.,多くの企業はコスト削減のためにITサービスを外部委託することを選択しています。
contractor,"【名】契約業者, 請負業者",/ˈkɒn.træktər/,The contractor completed the construction project ahead of schedule.,請負業者は工事プロジェクトを予定よりも早く完了しました。
straightforward,"【形】簡単な, 分かりやすい",/stɹeɪtfɔːɹwəd/,She gave a straightforward explanation of the process.,彼女はその経緯をわかりやすく説明してくれました。
unusually,"【副】異常に, 普段と違って",/ʌnˈjuːʒuəli/,She was unusually quiet today.,彼女は今日、異常に静かだった。
widespread,"【形】広範囲にわたる, 広がった",/ˈwaɪdspɹɛd/,The COVID-19 pandemic has had a widespread impact on the global economy.,COVID-19パンデミックは世界経済に広範囲な影響を与えています。
molecule,【名】分子,/mɒˈlɛkjuːl/,Water is a molecule composed of two hydrogen atoms and one oxygen atom.,水は、2つの水素原子と1つの酸素原子から構成される分子です。
acid,【名】酸,/'æsɪd/,The solution turned red because it was acid.,その溶液は酸性だったので赤くなった。
administrator,"【名】管理者, 経営者",/ədˈmɪnɪˌstreɪtər/,The administrator of the city has implemented new policies.,その都市の為政者は新しい政策を実施しました。
advisor,"【名】助言者, 顧問",/ədˈvaɪzər/,My advisor gave me some valuable advice for my future career.,私のアドバイザーは、私の将来のキャリアに対して貴重なアドバイスをくれました。
anniversary,"【名】記念日, 祝日",/ˌæn.ɪˈvɜːr.sər.i/,Today is our 10th wedding anniversary.,今日は私たちの結婚10周年記念日です。
annually,"【副】毎年, 年に一度",/ˈæn.ju.ə.li/,The conference takes place annually.,その会議は毎年開催される。
approximate,"【形】おおよその, ほぼ正確な",/əˈprɑksəmət/,The approximate time of arrival is around 3 pm.,到着のおおよその時間は午後3時頃です。
artificial,"【形】人工の, 人工的な",/ˌɑːr.tɪˈfɪʃ.əl/,The artificial intelligence industry is rapidly growing.,人工知能産業は急速に成長しています。
