entry,meaning,ipa,example_sentence,translated_sentence
parental,【形】親の;【名】親.,/pəˈrɛn.təl/,My parental instincts kicked in when I saw the child in danger.,子供が危険にさらされているのを見た時、親の本能が働きました。
biology,【名】生物学.,/baɪˈɑlədʒi/,I am studying biology to understand the complexity of life.,私は生命の複雑さを理解するために生物学を勉強しています。
pest,"【名】害虫, 有害生物.",/pɛst/,The garden was infested with pests.,庭には害虫が大量発生していました。
phenomenal,"【形】驚異的な, 非常に素晴らしい.",/fɪˈnɒmɪnəl/,The Northern Lights are a phenomenal natural phenomenon.,オーロラは驚くべき自然現象です。
philosopher,【名】哲学者.,/fɪˈlɒsəfər/,The philosopher pondered the meaning of life.,哲学者は人生の意味を考えた。
photographic,"【形】写真の, 写真術の.",/fəˌtɒɡrəˈfɪk/,She has a passion for photographic art.,彼女は写真の芸術に情熱を持っています。
bullet,【名】弾丸.,/'bʊlɪt/,He dodged the bullet just in time.,彼はギリギリで弾丸を避けた。
pragmatic,"【形】実際的な, 実用的な.",/præɡˈmætɪk/,She always takes a pragmatic approach to problem-solving.,彼女は常に問題解決に実際的なアプローチを取ります。
primitive,"【形】原始的な, 初期の.",/prɪˈmɪtɪv/,Primitive societies relied on hunting and gathering for survival.,原始社会は生存のために狩猟と採集に頼っていました。
chess,【名】チェス.,/tʃɛs/,I enjoy playing chess with my friends on the weekends.,週末に友達とチェスを楽しんでいます。
protocol,"【名】プロトコル, 規約.",/'proʊtəˌkɔl/,The protocol for diplomatic meetings is to exchange formal greetings and engage in discussions.,外交会議のプロトコルは、正式な挨拶を交換し、議論に参加することです。
chromosome,【名】染色体.,/ˈkroʊməsoʊm/,The chromosome is the structure that carries genetic information in cells.,染色体は細胞内で遺伝情報を運ぶ構造です。
punishment,"【名】罰, 処罰.",/pʌnɪʃmənt/,He received a severe punishment for his actions.,彼は自分の行動のために厳しい罰を受けた。
classroom,【名】教室.,/ˈklɑːs.ruːm/,I am in the classroom.,私は教室にいる。
readily,"【副】容易に, すぐに.",/ˈrɛdɪli/,She readily agreed to help me with my project.,彼女は快く私のプロジェクトを手伝うことに同意しました。
receptor,"【名】受容体, レセプター.",/rɪˈsɛptər/,The taste receptor on my tongue helps me distinguish between sweet and sour flavors.,私の舌の味覚受容体は、甘い味と酸っぱい味を区別するのに役立ちます。
rejection,"【名】拒絶, 拒否.",/rɪˈdʒɛkʃən/,I faced rejection when I applied for the job.,私はその仕事に応募した時に断られました。
bleed,【動】出血する.,/bliːd/,I cut my finger and it started to bleed.,私は指を切って出血し始めました。
coronary,【形】冠状の.,/kɔːˈrɒnəri/,Coronary artery disease is a common condition that affects the heart.,冠状動脈疾患は心臓に影響を与える一般的な状態です。
correctly,"【副】正確に, 正しく.",/kəˈrɛktli/,Please answer the question correctly.,質問に正しく答えてください。
ultimate,"【形】最終的な, 究極の.",/ˈʌltɪmət/,He reached the ultimate level of success.,彼は成功の最後のレベルに到達した。
rhetoric,"【名】修辞, レトリック.",/rɛtərɪk/,She studied rhetoric in college.,彼女は大学で修辞学を学んだ。
rhythm,"【名】リズム, 韻律.",/'rɪðəm/,The music had a catchy rhythm that made everyone want to dance.,その音楽はキャッチーなリズムがあり、みんなが踊りたくなった。
cyclic,"【形】周期的な, 環状の.",/'saɪklɪk/,The moon goes through a cyclic pattern of phases.,月は周期的な位相のパターンを経る。
scenario,"【名】シナリオ, 事態.",/səˈnɛəri.oʊ/,The screenwriter is working on a new scenario for the movie.,脚本家は映画の新しいシナリオに取り組んでいます。
dictionary,【名】辞書.,/dɪkʃəˈnɛri/,I bought a new dictionary yesterday.,昨日新しい辞書を買った。
sexuality,"【名】性的魅力, 性的傾向.",/sɛkʃuˈæləti/,Sexuality is a complex and diverse aspect of human nature.,性的特質は人間の複雑で多様な側面です。
shallow,"【形】浅い, 浅薄な.",/ˈʃæloʊ/,The water in the pond is shallow.,池の水は浅いです。
dominance,"【名】優勢, 支配.",/dɑːmɪnəns/,She asserted her dominance over the team by leading them to victory.,彼女はチームを勝利に導くことで優越感を主張しました。
similarity,"【名】類似性, 似ていること.",/sɪmɪˈlærəti/,There is some similarity in the way they sing.,彼らの歌い方にはいくつかの類似点がある。
singular,"【形】単数の, 特異な.",/ˈsɪŋɡjələr/,He has a singular talent for playing the piano.,彼はピアノを演奏する非凡な才能を持っています。
socially,【副】社会的に.,/ˈsoʊʃəli/,She is socially active and enjoys attending various events.,彼女は社会的に活発で、さまざまなイベントに参加するのが好きです。
entity,"【名】実体, 存在.",/ˈɛn.tə.ti/,The Loch Ness Monster is a famous mythical entity.,ネッシーは有名な神話上の存在です。
ex,【名】元.,/ɛks/,I need to exfoliate my skin before applying makeup.,メイクをする前に、肌の角質を取り除く必要があります。
sphere,"【名】球体, 領域.",/sfɪər/,The Earth is a sphere.,地球は球体です。
explicit,"【形】明確な, 露骨な.",/ɪkˈsplɪsɪt/,He made his intentions explicit.,彼は自分の意図を明白に述べた。
stance,"【名】立場, 姿勢.",/stæns/,His stance on the issue is clear.,彼の態度は明確です。
fetal,【形】胎児の.,/ˈfiːtəl/,The doctor performed an ultrasound to check the fetal development.,医師は胎児の発育をチェックするために超音波検査を実施した。
stripe,"【名】縞, ストライプ.",/stɹaɪp/,The national flag of the USA is called the Stars and Stripes.,合衆国の国旗は星条旗と呼ばれる。
flexibility,【名】柔軟性.,/flɛksəˈbɪləti/,Flexibility is important in adapting to new situations.,新しい状況に適応するためには柔軟性が重要です。
subset,"【名】部分集合, 下位群.",/ˈsʌbˌsɛt/,The set A is a subset of set B.,集合Aは集合Bの部分集合です。
syllable,【名】音節.,/sɪləbəl/,Each word in English is made up of one or more syllables.,英語の各単語は1つ以上の音節で構成されています。
tempt,"【動】誘惑する, 引きつける.",/tɛmpt/,The sunshine tempted people out.,太陽の日差しに誘われて人々が外出した。
thickness,"【名】厚さ, 濃さ.",/ˈθɪknəs/,The thickness of the paper is important for printing.,紙の厚さは印刷に重要です。
thumb,【名】親指.,/θʌm/,He sucked his thumb when he was a child.,彼は子供の頃、親指をしゃぶっていました。
translation,"【名】翻訳, 解釈.",/trænˈsleɪʃən/,Translation is the process of converting text from one language to another.,訳すことは、テキストを一つの言語から別の言語に変換するプロセスです。
trauma,"【名】外傷, 精神的ショック.",/ˈtrɔːmə/,She experienced a traumatic event that left a lasting impact on her.,彼女はトラウマを経験し、それが彼女に長い影響を与えました。
tropical,【形】熱帯の.,/'tɹɒpɪkəl/,I love exploring tropical destinations.,私は熱帯地域を探検するのが大好きです。
hormone,【名】ホルモン.,/hɔrˈmoʊn/,Hormones play a crucial role in regulating various bodily functions.,ホルモンはさまざまな体の機能を調節する上で重要な役割を果たしています。
unify,"【動】統一する, 一体化する.",/juː.nɪ.faɪ/,The goal of this project is to unify all the different systems into one platform.,このプロジェクトの目標は、異なるシステムを統一した一つのプラットフォームにすることです。
hydrogen,【名】水素.,/ˈhaɪdrədʒən/,Hydrogen is the lightest and most abundant element in the universe.,水素は宇宙で最も軽く、最も豊富な元素です。
usage,"【名】使用, 用途.",/ˈjuːsɪdʒ/,I need help with the usage of this software.,このソフトウェアの使い方について助けが必要です。
importantly,【副】重要なことに.,/ɪmˈpɔːrtəntli/,"Importantly, she emphasized the need for teamwork in achieving the company's goals.",重要なことには、彼女は会社の目標を達成するためにチームワークの必要性を強調しました。
variant,"【名】変異体, 異形.",/'vɛəriənt/,The variant of the virus is spreading rapidly.,ウイルスの変異種が急速に広がっています。
vector,"【名】ベクトル, 媒介物.",/'vɛktər/,I learned about vector in my math class.,数学の授業でベクトルについて学びました。
vegetation,"【名】植生, 植物.",/vɛdʒɪˈteɪʃən/,The dense vegetation in the rainforest provides a habitat for a wide variety of animals.,熱帯雨林の密集した植生は、さまざまな動物の生息地を提供しています。
indigenous,"【形】土着の, 原住民の.",/ɪnˈdɪʤənəs/,The indigenous people of the region have a deep connection to their ancestral lands and traditions.,この地域の先住民は、先祖代々の土地や伝統と深いつながりをもっています。
independently,【副】独立して.,/ˌɪndɪˈpɛndəntli/,She decided to live independently after graduating from college.,彼女は大学を卒業した後、独立して生活することを決めました。
industrialize,【動】産業化する.,/ɪnˈdʌstriəˌlaɪz/,Many countries have industrialized their economies to boost growth and development.,多くの国々は成長と発展を促進するために経済を産業化してきています。
solvent,"【名】溶媒, 解決策.",/'sɒlvənt/,"However, these solvents were identified as carcinogenic.",しかしながら、これらの溶剤は発がん性が指摘された。
optimum,"【形】最適な, 最良の.",/ˈɒptɪməm/,The optimum temperature for this experiment is 25 degrees Celsius.,この実験の最適な温度は摂氏25度です。
molecular,【形】分子の.,/məˈlɛkjələr/,Molecular biology is the study of biological molecules and their interactions.,分子生物学は生物分子とその相互作用の研究です。
neural,【形】神経の.,/'nʊrəl/,The neural network model is used in various fields such as image recognition and natural language processing.,ニューラルネットワークモデルは画像認識や自然言語処理などさまざまな分野で利用されています。
noisy,"【形】騒々しい, 騒がしい.",/'nɔɪzi/,The party next door was so noisy that I couldn't concentrate on my work.,隣のパーティーがとてもやかましくて、仕事に集中できませんでした。
onwards,【副】それ以降.,/ˈɒnwədz/,"From now onwards, I will focus on my studies.",今後、私は勉強に集中します。
optimal,"【形】最適な, 最良の.",/ˈɒptɪməl/,Finding the optimal solution requires careful analysis.,最適解を見つけるには、慎重な分析が必要だ。
oxygen,【名】酸素.,/ˈɑksɪdʒən/,Oxygen is needed for combustion.,火が燃えるには酸素がいる。
acidic,【形】酸性の.,/əˈsɪdɪk/,The orange juice tasted acidic.,オレンジジュースは酸味があった。
poster,【名】ポスター.,/'poʊstər/,I have a poster of my favorite band in my room.,部屋に自分の好きなバンドのポスターを持っている。
psychologist,【名】心理学者.,/saɪˈkɒlədʒɪst/,The psychologist conducted a series of experiments to study human behavior.,心理学者は人間の行動を研究するために一連の実験を行った。
quantum,"【名】量子, 量子力学.",/'kwɑntəm/,Quantum mechanics is a branch of physics that studies the behavior of particles at the atomic and subatomic levels.,量子力学は、原子や亜原子レベルでの粒子の振る舞いを研究する物理学の一分野です。
residue,"【名】残留物, 残渣.",/ˈrɛzɪˌdjuː/,"After cooking the chicken, there was a residue of oil in the pan.",鶏肉を調理した後、フライパンに油の残りがありました。
respiratory,【形】呼吸の.,/rɪˈspɪrəˌtɔːri/,She has a respiratory infection.,彼女は呼吸器感染症を持っています。
container,"【名】容器, コンテナ.",/kənˈteɪnər/,I packed my lunch in a container.,私はランチを容器に詰めました。
emission,"【名】排出, 放出.",/ɪˈmɪʃən/,The emission of greenhouse gases is a major concern for environmentalists.,温室効果ガスの排出は環境保護主義者にとって重大な関心事です。
semantic,"【形】意味の, 意味論的な.",/səˈmæntɪk/,The semantic meaning of this word is unclear.,この単語の意味は意味論的には不明です。
finite,【形】有限の.,/fʌɪnaɪt/,The resources are finite.,資源は有限です。
solute,【名】溶質.,/'sɒljuːt/,"In this experiment, the salt is the solute, and the water is the solvent.",この実験では、塩が溶質で、水が溶媒です。
statistical,【形】統計上の.,/stəˈtɪstɪkəl/,Statistical analysis is used to interpret data and draw conclusions.,統計分析はデータを解釈し、結論を導くために使用されます。
tumor,【名】腫瘍.,/ˈtjuːmər/,He was diagnosed with a brain tumor.,彼は脳腫瘍と診断されました。
vitamin,【名】ビタミン.,/'vɪtəmɪn/,I take a vitamin supplement every morning.,毎朝、ビタミンのサプリメントを摂取しています。
ritual,"【名】儀式, 式典.",/ˈrɪtʃuəl/,The wedding ceremony is a beautiful ritual.,結婚式は美しい儀式です。
statistically,【副】統計的に.,/stəˈtɪstɪkli/,"Statistically, women live longer than men.",統計的に、女性の方が男性よりも長生きします。
regime,"【名】政権, 体制.",/ɹɪˈʒiːm/,The new regime implemented strict policies to maintain control.,新政権は厳しい政策を実施して統制を維持した。
straightforward,"【形】簡単な, 率直な.",/stɹeɪtfɔːɹwəd/,She gave a straightforward explanation of the process.,彼女はその経緯をわかりやすく説明してくれました。
continuity,"【名】連続性, 一貫性.",/kɒn.tɪ.nuˈɪ.ti/,There is no continuity between the three parts of the book.,この本の3つの章の間には、連続性がありません。
widespread,【形】広範囲にわたる.,/ˈwaɪdspɹɛd/,The COVID-19 pandemic has had a widespread impact on the global economy.,COVID-19パンデミックは世界経済に広範囲な影響を与えています。
molecule,【名】分子.,/mɒˈlɛkjuːl/,Water is a molecule composed of two hydrogen atoms and one oxygen atom.,水は、2つの水素原子と1つの酸素原子から構成される分子です。
acid,【名】酸.,/'æsɪd/,The solution turned red because it was acid.,その溶液は酸性だったので赤くなった。
altitude,"【名】高度, 標高.",/ˈæltɪtjuːd/,The altitude of this mountain is quite high.,この山の高度はかなり高いです。
antiquity,【名】古代.,/ænˈtɪkwəti/,"In antiquity, humans [[managed to|manage to]] survive without electricity.",古代、人類は電気がなくても生きていくことができました。
approximate,"【形】おおよその, 近似の.",/əˈprɑksəmət/,The approximate time of arrival is around 3 pm.,到着のおおよその時間は午後3時頃です。
artificial,【形】人工的な.,/ˌɑːr.tɪˈfɪʃ.əl/,The artificial intelligence industry is rapidly growing.,人工知能産業は急速に成長しています。
artistic,【形】芸術的な.,/ɑrˈtɪstɪk/,The artistic design of the building is truly breathtaking.,その建物の芸術的なデザインは本当に息をのむほどです。
aspect,"【名】側面, 観点.",/ˈæs.pɛkt/,This new product outperforms the old model in every aspect.,この新製品は、あらゆる点で旧型よりも優れている。
breakdown,"【名】崩壊, 分解.",/ˈbreɪkdaʊn/,My car had a breakdown on the way to work.,私の車は仕事の途中で故障しました。
broadly,【副】広く.,/ˈbrɔːdli/,She has a broadly diverse range of interests.,彼女は広く多様な興味を持っています。
bucket,【名】バケツ.,/ˈbʌkɪt/,The man filled a bucket with water.,その男は水を桶に詰めた。
calculator,"【名】計算機, 電卓.",/ˈkæl.kjə.leɪ.tər/,Using a calculator is an expedient way to solve complex math problems.,電卓を使うことは複雑な数学の問題を解くための便利な方法です。
calculus,【名】微積分.,/'kælkjələs/,I had to undergo surgery to remove a calculus from my kidney.,私は腎臓から結石を取り除く手術を受ける必要がありました。
maternal,【形】母親の.,/məˈtɜːrnəl/,She has a maternal instinct and takes care of everyone like a mother.,彼女は母性本能があり、母のようにみんなの世話をします。
characterization,"【名】特性化, 性格描写.",/ˌkæɹ.ək.təɹ.əˈzeɪ.ʃən/,The author's characterization of the protagonist is incredibly detailed and nuanced.,作者の主人公の描写は非常に詳細で微妙です。
chemistry,"【名】化学, 化学反応.",/tʃɛmɪstri/,I am studying chemistry at university.,私は大学で化学を勉強しています。
cheers,【名】乾杯.,/tʃɪərz/,Cheers to good health!,健康を祝して乾杯！
chunk,"【名】塊, 断片.",/tʃʌŋk/,I ordered a chunk of steak for dinner.,夕食に厚切りのステーキを注文しました。
cinema,"【名】映画館, 映画.",/sɪˈnɛmə/,I'm going to the cinema tonight.,今夜は映画館に行くつもりです。
circulation,"【名】循環, 流通.",/sɜːr.kjʊˈleɪ.ʃən/,The circulation of blood is essential for maintaining good health.,血液の循環は健康を維持するために不可欠です。
clay,【名】粘土.,/ kleɪ /,She molded the clay into a beautiful sculpture.,彼女は粘土を美しい彫刻に形作った。
clever,"【形】賢い, 利口な.",/ˈklɛvər/,He is a clever boy.,彼は賢い少年だ。
complement,【動】補完する;【名】補足.,/'kɒmplɪmənt/,Eating a balanced diet is the complement of a healthy lifestyle.,バランスの取れた食事は健康的な生活を補完します。
commonly,【副】一般に.,/ˈkɑːmənli/,"Commonly, people prefer to eat healthy food.",一般的に、人々は健康的な食べ物を好む。
communist,【名】共産主義者.,/kɒmjənɪst/,He is a dedicated communist.,彼は献身的な共産主義者です。
conditional,【形】条件付きの.,/kənˈdɪʃənəl/,"If it rains, I will stay at home.",雨が降ったら、私は家にいる。
cone,"【名】円錐, コーン.",/kəʊn/,I ate an ice cream cone.,私はアイスクリームの円すいを食べました。
constrain,"【動】制約する, 限定する.",/kənˈstreɪn/,We need to constrain our spending in order to save money.,お金を節約するために、支出を制限する必要があります。
contradiction,"【名】矛盾, 不一致.",/kɒntrəˈdɪkʃən/,There is a contradiction in his statement.,彼の発言には矛盾がある。
demonstrator,"【名】デモ参加者, 実演者.",/dɪˈmɒn.str.eɪ.tər/,The demonstrator provided evidence to support their claims.,立証者は自分たちの主張を裏付ける証拠を提供しました。
derivative,【名】導関数.,/dɪˈrɪvətɪv/,The concept of evolution is a derivative of Charles Darwin's theory.,進化の概念はチャールズ・ダーウィンの理論の派生です。
detection,"【名】検出, 発見.",/dɪˈtɛkʃən/,The detection of the virus was crucial in preventing its spread.,ウイルスの発見は、その拡散を防ぐ上で重要でした。
deviation,"【名】偏差, 逸脱.",/dɛviˈeɪʃən/,The experiment showed a deviation from the expected results.,実験結果は予想と外れることを示した。
diameter,【名】直径.,/daɪˈæmɪtər/,The diameter of the circle is 10 centimeters.,円の直径は10センチメートルです。
dimensional,【形】次元の.,/dɪˈmɛnʃənəl/,"The dimensional measurements of the box are 10 inches in length, 8 inches in width, and 6 inches in thickness.",箱の寸法は長さが10インチ、幅が8インチ、厚さが6インチです。
dye,【名】染料.,/daɪ/,She used a dye to color her hair.,彼女は髪を染めるために染料を使いました。
evolutionary,"【形】進化の, 発展的な.",/ˌiː.və.ˈluː.ʃə.ˌner.i/,The theory of evolution explains the process of evolutionary change in living organisms.,進化論は生物の進化的変化の過程を説明します。
fabric,"【名】布, 織物.",/'fæbrɪk/,She bought a beautiful fabric to make a dress.,彼女はドレスを作るために美しい織物を買いました。
factorial,【形】階乗の;【名】要因.,/fækˈtɔːriəl/,The factorial of a number is the product of all positive integers less than or equal to that number.,ある数の階乗は、その数以下のすべての正の整数の積です。
adaptation,"【名】適応, 順応.",/ˌæd.əpˈteɪ.ʃən/,The movie is an adaptation of the popular novel.,その映画は人気小説の映画化です。
fever,"【名】熱, 熱病.",/ˈfiːvər/,I have a fever.,私は熱を出しています。
fraction,"【名】分数, 断片.",/'fræk.ʃən/,He ate only a fraction of the cake.,彼はケーキのほんの一部しか食べませんでした。
generalization,"【名】一般化, 総括.",/dʒɛnərəlaɪˈzeɪʃən/,Generalization is an important concept in computer science.,一般化はコンピュータサイエンスにおける重要な概念です。
ghost,【名】幽霊.,/ɡoʊst/,I saw a ghost in my bedroom last night.,昨夜私の部屋で幽霊を見た。
goat,【名】ヤギ.,/ɡoʊt/,The goat is grazing in the field.,ヤギが畑で草を食べています。
grammatical,【形】文法的な.,/ɡrəˈmætɪkəl/,Understanding grammatical rules is essential for learning a new language.,新しい言語を学ぶためには文法のルールを理解することが重要です。
gravity,"【名】重力, 引力.",/ˈɡrævəti/,Gravity keeps us grounded on Earth.,引力は私たちを地球に引きつけます。
halfway,【副】途中で.,/ˈhæf.weɪ/,I stopped halfway through the marathon.,私はマラソンの途中で止まりました。
headquarters,"【名】本部, 本社.",/hɛdˈkwɔːrtərz/,The company's headquarters is located in New York.,会社の本部はニューヨークにあります。
helix,"【名】らせん, ヘリックス.",/'hɛlɪks/,"The DNA molecule is shaped like a double helix, with two intertwined strands creating its unique structure.",DNA 分子は二重らせんのような形をしており、2 本の鎖が絡み合って独特の構造を形成しています。
capillary,"【名】毛細管, 毛細血管.",/'kæp.ə.lɛr.i/,The capillary is a tiny blood vessel that connects arterioles and venules.,毛細血管は、動脈小管と静脈小管をつなぐ微細な血管です。
horizontal,"【形】水平の, 横の.",/hɔːrɪˈzɒntəl/,The sun sets below the horizontal line.,太陽は水平線の下に沈みます。
immune,【形】免疫の.,/ɪˈmjuːn/,Regular exercise can help boost your immune system.,定期的な運動は免疫システムを強化するのに役立ちます。
incredible,"【形】信じられない, 驚くべき.",/ɪnˈkrɛdəbəl/,The view from the top of the mountain was incredible.,山の頂上からの景色は信じられなかった。
cheat,【動】だます.,/tʃiːt/,"He tried to cheat on the test, but he got caught.",彼はテストでカンニングしようとしたが、バレた。
infectious,【形】伝染性の.,/ɪnˈfɛkʃəs/,Infectious diseases can spread quickly in crowded areas.,混雑した地域では感染症が急速に広がることがあります。
injection,【名】注射.,/ɪnˈdʒɛkʃən/,I received an injection at the doctor's office.,私は医者のオフィスで注射を受けました。
initiation,"【名】開始, 開始行動.",/ɪˌnɪʃiˈeɪʃən/,He underwent initiation into the secret society.,彼は秘密結社への入会を受けました。
innate,"【形】生まれつきの, 先天的な.",/ɪˈneɪt/,Her innate talent for music was evident from a young age.,彼女の生まれつきの音楽の才能は若い頃から明らかでした。
interval,"【名】間隔, インターバル.",/ˈɪntərvəl/,There was a long interval before he answered.,彼が答えるまでに長い間があった。
invert,"【動】反転する, 逆にする.",/ɪnˈvɜrt/,She decided to invert the colors of the painting.,彼女は絵の色を逆さまにすることを決めました。
compact,【形】コンパクトな;【名】小型の.,/kəmˈpækt/,This compact suitcase can fit all your belongings.,このコンパクトなスーツケースには、すべての荷物が収まります。
conception,"【名】概念, 受胎.",/kənˈsɛpʃən/,The conception of the project was a great success.,プロジェクトの構想は大成功だった。
lexical,"【形】語彙の, 語彙的な.",/lɛksɪkəl/,I am studying lexical analysis in my computer science class.,私はコンピュータサイエンスの授業で語彙解析を勉強しています。
liable,"【形】責任がある, ～しやすい.",/ˈlaɪəbəl/,He is liable for the damages caused by his actions.,彼は自分の行動によって引き起こされた損害に対して責任がある。
connotation,"【名】含意, 言外の意味.",/kɑnəˈteɪʃən/,The word 'snake' has a negative connotation.,「蛇」という言葉はネガティブな意味合いを持っています。
limb,"【名】四肢, 手足.",/lɪm/,The dog lost a limb in the accident.,その犬は事故で手足を失った。
linear,"【形】線形の, 直線的な.",/ˈlɪniər/,The graph shows a linear relationship between the two variables.,グラフは、2つの変数の間に線の関係を示しています。
corpus,"【名】文書, 文集.",/'kɔːrpəs/,The corpus contains a large collection of texts.,コーパスには大量のテキストが含まれています。
cure,【動】治療する;【名】治療法.,/kjʊər/,There is no cure for the common cold.,普通の風邪に治療法はない。
damp,【形】湿った;【動】湿らせる.,/dæmp/,The clothes were still damp after being left outside in the rain.,雨の中に外に置かれた後、服はまだ湿っていました。
denominator,【名】分母.,/dɪˈnɒmɪneɪtər/,The denominator of the fraction is 12.,分数の分母は12である。
directive,"【名】指令, 指示.",/dɪˈrɛktɪv/,The teacher gave us a directive to complete the assignment by Friday.,先生は私たちに金曜日までに課題を完成させるよう指示を出しました。
discharge,"【動】排出する;【名】排出, 解放.",/dɪsˈtʃɑːrdʒ/,The hospital will discharge the patient tomorrow.,病院は明日、患者を退院させます。
locus,"【名】遺伝子座, 場所.",/'loʊkəs/,The locus of the crime scene was carefully examined by the forensic team.,犯罪現場の場所は法医学チームによって注意深く調査された。
epidemic,"【名】伝染病, 流行.",/ɛpɪˈdɛmɪk/,The government is taking measures to control the epidemic.,政府は流行性の制御策を取っています。
essentially,【副】本質的に.,/ɪˈsɛnʃəli/,"Essentially, he is a good person.",本質的に彼は良い人です。
faculty,"【名】学部, 教員.",/'fækəlti/,The faculty of this university is highly respected.,この大学の教員は非常に尊敬されています。
magnetic,"【形】磁気の, 磁力の.",/mæɡˈnɛtɪk/,The magnetic field of the Earth helps birds navigate during migration.,地球の磁場は鳥の渡りの際にナビゲーションを助けます。
mall,【名】ショッピングモール.,/mɔːl/,I went to the mall to buy some new clothes.,私は新しい服を買うためにショッピングモールに行きました。
manipulation,"【名】操作, 操縦.",/məˌnɪpjəˈleɪʃən/,He is skilled in the manipulation of data.,彼はデータの巧妙な扱いに熟練しています。
manual,"【形】手動の, 手作業の.",/mænjuəl/,I prefer manual labor over using machines.,私は機械を使うよりも手作業を好む。
manuscript,"【名】原稿, 手稿.",/mænjəˌskrɪpt/,She submitted her manuscript to the publisher.,彼女は原稿を出版社に提出しました。
marginal,"【形】周辺の, 余白の.",/mɑrˈdʒɪnəl/,She has only a marginal interest in sports.,彼女はスポーツに取るに足りない程度の興味しか持っていない。
marrow,【名】骨髄.,/ˈmær.oʊ/,He had a bone marrow transplant.,彼は骨髄移植を受けました。
incline,【動】傾く;【名】傾向.,/ɪnˈklaɪn/,I inclined my ear to him.,彼の言うことに耳を傾けた。
mathematical,【形】数学的な.,/mæθəˈmætɪkəl/,Mathematical equations can be solved using various methods.,数学の方程式はさまざまな方法を使って解くことができます。
mineral,【名】鉱物.,/mɪnərəl/,Plants require minerals for their growth.,植物は成長に無機物を必要とします。
