entry,meaning,ipa,example_sentence,translated_sentence
renown,"【名】名声, 名高いこと",/rɪˈnaʊn/,He gained renown for his exceptional talent.,彼はその卓越した才能で高名になった。
restroom,【名】トイレ,/'rɛstrum/,"Excuse me, where is the restroom?",すみません、手洗所はどこですか？
container,【名】容器,/kənˈteɪnər/,I packed my lunch in a container.,私はランチを容器に詰めました。
cumulative,【形】累積的な,/kjuːmjələtɪv/,The cumulative number of COVID-19 cases continues to rise.,新型コロナウイルスの累積感染者数は増加し続けています。
satisfactory,"【形】満足のいく, 満足な",/sætɪsˈfæktəri/,The service at the restaurant was satisfactory.,レストランのサービスは満足のいくものでした。
seeker,【名】探し求める人,/siːkər/,She is a seeker of truth.,彼女は真実の追求者です。
sewer,"【名】下水道, 下水管;【動】...に下水設備を設ける",/suːər/,The sewer system in the city is in need of repair.,市内の下水道システムは修理が必要です。
sofa,"【名】ソファ, 長椅子",/ˈsoʊfə/,I love to relax on the comfortable sofa in my living room.,私はリビングルームの快適なソファでくつろぐのが大好きです。
someday,"【副】いつか, そのうち",/sʌmˈdeɪ/,"Someday, I want to travel around the world.",いつか、世界中を旅したいです。
spectator,【名】観客,/spɛkˈteɪ.tər/,The spectator watched the game with excitement.,観客は興奮しながら試合を見た。
stockholder,【名】株主,/ˈstɑkhoʊldər/,The stockholder meeting will be held next week.,株主総会は来週開催されます。
honestly,"【副】正直に, 誠実に",/ˈɑnəstli/,"Honestly, I don't know what to do.",正直に言って、私は何をすべきかわかりません。
insufficient,【形】不十分な,/ˌɪnsəˈfɪʃənt/,The amount of food provided was insufficient for the number of guests.,提供された食べ物の量は、ゲストの数に対して不十分でした。
pet,【名】ペット,/pɛt/,My pet is a small dog.,私のペットは小さな犬です。
temporarily,【副】一時的に,/tɛmpəˈrɛrəli/,I will temporarily stay at my friend's house until I find a new apartment.,新しいアパートを見つけるまで、一時的に友達の家に滞在します。
theft,【名】盗難,/θɛft/,The theft of the valuable painting shocked the art community.,貴重な絵画の盗難は、美術界を驚かせました。
translator,"【名】通訳者, 翻訳者",/trænzˈleɪtər/,The translator did an excellent job translating the document.,翻訳者は文書の翻訳を素晴らしい仕事でした。
vase,【名】花瓶,/veɪz/,The vase was filled with beautiful flowers.,その花瓶には美しい花がぎゅうぎゅうと入っていた。
vitamin,【名】ビタミン,/'vɪtəmɪn/,I take a vitamin supplement every morning.,毎朝、ビタミンのサプリメントを摂取しています。
cellphone,【名】携帯電話,/sɛlfəʊn/,What's your cellphone number?,あなたの携帯電話の番号は？
healthcare,"【名】ヘルスケア, 医療",/hɛlθkɛər/,I work in the healthcare industry.,私は医療業界で働いています。
laptop,【名】ノートパソコン,/ˈlæp.tɒp/,I bought a new laptop yesterday.,私は昨日新しいノートパソコンを買いました。
redesign,【動】再設計する,/ɹiːdɪˈzaɪn/,The company decided to redesign their website to improve user experience.,会社はユーザー経験を向上させるためにウェブサイトの再設計を決定しました。
upcoming,"【形】今度の, 来るべき",/ʌpˈkʌmɪŋ/,I am excited about the upcoming concert.,私は今度のコンサートが楽しみです。
contractor,【名】請負業者,/ˈkɒn.træktər/,The contractor completed the construction project ahead of schedule.,請負業者は工事プロジェクトを予定よりも早く完了しました。
unusually,【副】異常に,/ʌnˈjuːʒuəli/,She was unusually quiet today.,彼女は今日、異常に静かだった。
interpreter,【名】通訳者,/ɪnˈtɜːprɪtər/,The interpreter helped us communicate with the foreign delegates.,通訳者は私たちが外国の代表団とコミュニケーションを取るのを助けました。
polite,【形】礼儀正しい,/pəˈlaɪt/,He always speaks in a polite manner.,彼はいつも礼儀正しく話します。
publicize,【動】公表する,/ˈpʌblɪsaɪz/,The company hired a marketing agency to publicize their new product.,会社は新製品を宣伝するためにマーケティングエージェンシーを雇いました。
absent,【形】不在の,/ˈæbsənt/,John was absent from school yesterday.,ジョンは昨日、学校を欠席した。
administrator,【名】管理者,/ədˈmɪnɪˌstreɪtər/,The administrator of the city has implemented new policies.,その都市の為政者は新しい政策を実施しました。
advisor,"【名】顧問, 助言者",/ədˈvaɪzər/,My advisor gave me some valuable advice for my future career.,私のアドバイザーは、私の将来のキャリアに対して貴重なアドバイスをくれました。
amateur,【名】アマチュア;【形】アマチュアの,/ˈæmətər/,"Despite being an amateur, he played the piano beautifully.",彼はアマチュアにもかかわらず、ピアノを美しく演奏した。
announcer,【名】アナウンサー,/əˈnaʊnsər/,The announcer at the station informed us about the delay of the train.,駅のアナウンサーが私たちに電車の遅延を知らせました。
anniversary,【名】記念日,/ˌæn.ɪˈvɜːr.sər.i/,Today is our 10th wedding anniversary.,今日は私たちの結婚10周年記念日です。
annually,【副】毎年,/ˈæn.ju.ə.li/,The conference takes place annually.,その会議は毎年開催される。
approximate,【形】おおよその;【動】概算する,/əˈprɑksəmət/,The approximate time of arrival is around 3 pm.,到着のおおよその時間は午後3時頃です。
artistic,【形】芸術的な,/ɑrˈtɪstɪk/,The artistic design of the building is truly breathtaking.,その建物の芸術的なデザインは本当に息をのむほどです。
shortage,【名】不足,/ˈʃɔːrtɪdʒ/,There is a shortage of water in the desert.,砂漠では水が不足しています。
asleep,【形】眠っている,/əˈsliːp/,She was so tired that she fell asleep on the couch.,彼女はとても疲れていたので、ソファーで眠ってしまった。
aspect,"【名】側面, 面",/ˈæs.pɛkt/,This new product outperforms the old model in every aspect.,この新製品は、あらゆる点で旧型よりも優れている。
assurance,【名】保証,/əˈʃʊrəns/,I need your assurance that you will complete the project on time.,あなたがプロジェクトを時間通りに完成させるという保証が必要です。
authorize,"【動】承認する, 許可する",/ˈɔːθəraɪz/,The manager will authorize you to access the confidential files.,マネージャーはあなたに機密ファイルへのアクセス権を与えます。
automatic,【形】自動的な;【名】自動装置,/ɔːtəˈmætɪk/,The door opens automatically when you approach it.,あなたが近づくと、ドアは自動的に開きます。
await,"【動】待ち受ける, 待つ",/əˈweɪt/,I will await your reply.,私はあなたの返事を待つでしょう。
baggage,【名】手荷物,/ˈbæɡɪdʒ/,My baggage is missing.,私の荷物が見つからないんです。
banker,【名】銀行家,/'bæŋkər/,My uncle is a successful banker.,私の叔父は成功した銀行家です。
bankruptcy,"【名】破産, 倒産",/bæŋk.rʌpt.si/,The company had to declare bankruptcy due to financial difficulties.,会社は財政難のために破産を宣言しなければならなかった。
banquet,【名】宴会,/'bæŋkwɪt/,The royal banquet was a grand affair with a variety of delicious dishes.,王室の宴会は、さまざまな美味しい料理が並ぶ壮大なものでした。
bathroom,"【名】浴室, バスルーム",/ˈbɑːθruːm/,I need to go to the bathroom.,トイレに行く必要がある。
bean,【名】豆,/biːn/,I ate a bean for lunch.,昼ごはんにビーンを食べました。
beginner,"【名】初心者, ビギナー",/bɪˈɡɪnər/,"As a beginner, I find it challenging to understand complex concepts.",初学者として、複雑な概念を理解するのは難しいです。
bicycle,【名】自転車,/baɪsɪkəl/,I bought a new bicycle today.,今日新しい自転車を買いました。
blueprint,"【名】設計図, ブループリント",/ˈbluːˌprɪnt/,The architect showed us the blueprint of the new building.,建築家は新しい建物の青写真を私たちに見せてくれました。
broom,【名】ほうき,/bruːm/,She swept the floor with a broom.,彼女はほうきで床を掃いた。
bug,【名】虫,/bʌɡ/,I saw a bug crawling on the wall.,私は壁を這っている虫を見ました。
butter,【名】バター,/ˈbʌtər/,I spread butter on my toast this morning.,今朝はトーストにバターを塗った。
calculator,"【名】計算機, 電卓",/ˈkæl.kjə.leɪ.tər/,Using a calculator is an expedient way to solve complex math problems.,電卓を使うことは複雑な数学の問題を解くための便利な方法です。
tenant,"【名】借家人, テナント",/ˈtɛnənt/,The landlord is looking for a new tenant for the apartment.,大家はアパートの新しい入居者を探しています。
careless,"【形】不注意な, 軽率な",/kɛr.ləs/,He made a careless mistake.,彼は不注意なミスをした。
chemistry,【名】化学,/tʃɛmɪstri/,I am studying chemistry at university.,私は大学で化学を勉強しています。
cheer,【名】歓声;【動】歓声を上げる,/tʃɪr/,The crowd erupted in cheer when their team scored a goal.,チームがゴールを決めた時、観衆は歓呼に e る
chef,"【名】シェフ, 料理長",/ʃɛf/,The chef prepared a delicious meal for us.,料理長は私たちのためにおいしい食事を用意してくれました。
cinema,【名】映画館,/sɪˈnɛmə/,I'm going to the cinema tonight.,今夜は映画館に行くつもりです。
circulation,"【名】循環, 流通",/sɜːr.kjʊˈleɪ.ʃən/,The circulation of blood is essential for maintaining good health.,血液の循環は健康を維持するために不可欠です。
closet,【名】クローゼット,/'klɑzɪt/,I found a hidden door in the back of my closet.,クローゼットの奥に隠されたドアを見つけました。
whale,【名】クジラ,/weɪl/,The whale is the largest mammal in the ocean.,クジラは海の中で最大の哺乳動物です。
collector,"【名】収集家, コレクター",/kəˈlɛktər/,She is an avid collector of vintage stamps.,彼女はヴィンテージ切手の熱心な収集家です。
commonly,"【副】一般に, 通常",/ˈkɑːmənli/,"Commonly, people prefer to eat healthy food.",一般的に、人々は健康的な食べ物を好む。
yen,【名】円,/jɛn/,I exchanged my dollars for yen at the bank.,私は銀行でドルを円に両替しました。
condominium,【名】分譲マンション,/kɑːnˈdɒmɪniəm/,I live in a condominium.,私はマンションに住んでいます。
confidential,"【形】機密の, 内密の",/kɒnfɪˈdenʃəl/,This document contains confidential information.,この文書には機密情報が含まれています。
contradiction,【名】矛盾,/kɒntrəˈdɪkʃən/,There is a contradiction in his statement.,彼の発言には矛盾がある。
countryside,【名】田舎,/ˈkʌn.tri.saɪd/,My cousin lives in the countryside.,私のいとこは田舎に住んでいます。
courtesy,【名】礼儀,/ˈkɜːrtəsi/,Courtesy is important in any social interaction.,礼儀はどんな社会的な交流においても重要です。
crane,【名】クレーン,/krɛɪn/,I saw a crane flying in the sky.,空を飛ぶツルを見ました。
decoration,"【名】装飾, 飾り",/dɛkəˈreɪʃən/,The decoration on the cake was beautiful.,ケーキの装飾は美しかったです。
delicious,【形】おいしい,/dɪˈlɪʃəs/,The cake was delicious.,ケーキはおいしかった。
deluxe,"【形】豪華な, デラックスの",/dɪˈlʌks/,The hotel offers deluxe accommodations with stunning views of the city.,ホテルは都市の素晴らしい景色を望む豪華な宿泊施設を提供しています。
detach,"【動】分離する, 取り外す",/dɪˈtætʃ/,You can detach the keyboard from the laptop.,キーボードをノートパソコンから取り外すことができます。
developer,"【名】開発者, デベロッパー",/dɪˈvɛləpər/,I am a software developer.,私はソフトウェア開発者です。
discontinue,"【動】中止する, 廃止する",/dɪsˌkɒntɪˈnjuː/,I have decided to discontinue my piano lessons.,私はピアノのレッスンをやめることに決めました。
disgust,【名】嫌悪;【動】...に嫌悪感を抱かせる,/dɪsˈɡʌst/,The smell of rotten eggs disgusts me.,腐った卵の匂いは私を嫌悪させます。
disposal,"【名】処分, 廃棄",/dɪˈspoʊzəl/,Proper disposal of waste is important for environmental conservation.,廃棄物の適切な処理は環境保護のために重要です。
disrupt,【動】混乱させる,/dɪsˈrʌpt/,The new technology has the potential to disrupt the traditional market.,新しい技術は伝統的な市場を混乱させる可能性があります。
distributor,【名】販売業者,/dɪˈstrɪbjətər/,The distributor is responsible for distributing the products to various stores.,ディストリビューターは、さまざまな店舗に製品を分配する責任があります。
drawer,【名】引き出し,/ˈdrɔːr/,I found a key in the drawer.,私は引き出しの中で鍵を見つけました。
embassy,【名】大使館,/ˈɛmbəsi/,I need to go to the embassy to renew my passport.,私はパスポートを更新するために大使館に行かなければなりません。
mini,【形】ミニの;【名】ミニサイズ,/mɪni/,She wore a mini skirt to the party.,彼女はパーティーにミニスカートを着ていました。
evenly,【副】均等に,/ˈiː.vən.li/,The cake was evenly divided among the guests.,ケーキはゲストたちに等しく分けられました。
fabric,"【名】布地, 生地",/'fæbrɪk/,She bought a beautiful fabric to make a dress.,彼女はドレスを作るために美しい織物を買いました。
extinguisher,【名】消火器,/ɪkˈstɪŋɡwɪʃər/,Make sure to keep a fire extinguisher in your kitchen.,キッチンには必ず消火器を置いてください。
fitness,【名】フィットネス,/fɪtnəs/,She exercises moderately to maintain her fitness.,彼女は体の健康を維持するためにほどよく運動しています。
aisle,【名】通路,/ɑɪl/,I found the book I was looking for in the aisle.,私は通路で探していた本を見つけました。
flour,【名】小麦粉,/flaʊər/,I need to buy some flour to make bread.,パンを作るために小麦粉を買わなければなりません。
attorney,【名】弁護士,/əˈtɜrni/,My brother is studying to become an attorney.,私の兄は弁護士になるために勉強しています。
folder,【名】フォルダー,/ˈfoʊldər/,I put the documents in a folder to keep them organized.,書類を整理するために、紙ばさみに入れました。
foreman,"【名】現場監督, 監督",/fɔrˈmæn/,The foreman is responsible for overseeing the construction site.,現場監督は工事現場の監督を担当しています。
fountain,【名】噴水,/ˈfaʊntən/,The fountain in the park is a popular spot for visitors.,公園の泉は、訪れる人々に人気のスポットです。
frustrate,"【動】挫折させる, 失望させる",/frʌˈstreɪt/,The constant setbacks frustrate her efforts to succeed.,継続的な挫折は彼女の成功への努力を挫かせる。
generous,【形】寛大な,/dʒɛnərəs/,She is known for her generous nature.,彼女は気前のよい性格で知られている。
generalization,【名】一般化,/dʒɛnərəlaɪˈzeɪʃən/,Generalization is an important concept in computer science.,一般化はコンピュータサイエンスにおける重要な概念です。
graduation,【名】卒業,/ˌɡrædʒuˈeɪʃən/,I will be attending my graduation ceremony next week.,来週、私は卒業式に出席します。
graphics,【名】グラフィックス,/ˈɡræfɪks/,I studied graphics in college.,私は大学で製図法を勉強しました。
